product_id,product_name,category,subcategory,cost_price
P00072,Advanced Backpack 72,Electronics,Laptop,262.16
P00073,Smart Novel 73,Electronics,Mobile,664.14
P00074,Advanced Headphones 74,Electronics,Accessories,261.81
P00075,Advanced Novel 75,Home,Kitchen,475.14
P00076,Smart Chair 76,Clothing,Kids,397.27
P00077,Premium Phone 77,Electronics,Mobile,118.29
P00078,Essential Chair 78,Electronics,Laptop,339.61
P00079,Classic Monitor 79,Clothing,Men,738.21
P00080,  essential chair 80  ,Books,Academic,698.55
P00081,ESSENTIAL SHIRT 81,Electronics,Accessories,405.73
P00082, Modern Backpack 82 ,Home,Kitchen,180.21
P00083,Premium Cookware 83,Home,Furniture,330.95
P00084,Essential Shirt 84,Home,Kitchen,613.14
P00085,Essential Lamp 85,Electronics,Mobile,63.23
P00086,Advanced Chair 86,Electronics,Accessories,95.04
P00087,Smart Backpack 87,Clothing,Kids,695.68
P00088,Modern Chair 88,Books,Fiction,39.9
P00089,Smart Backpack 89,Home,Decor,496.18
P00090,Premium Cookware 90,Electronics,Laptop,477.95
P00091,Modern Novel 91,Electronics,Accessories,435.68
P00092,Advanced Lamp 92,Home,Furniture,557.65
P00093,Modern Notebook 93,Electronics,Mobile,605.54
P00094,Smart Monitor 94,Home,Decor,449.54
P00095,Essential Phone 95,Clothing,Kids,245.45
P00096,Premium Monitor 96,Books,Fiction,133.28
P00097,Premium Chair 97,Electronics,Laptop,108.58
P00098,Premium Notebook 98,Electronics,Mobile,190.41
P00099,Advanced Backpack 99,Clothing,Women,723.99
P00100,Smart Chair 100,Clothing,Kids,235.54
P00101,Classic Monitor 101,Clothing,Women,759.75
P00102,Advanced Shirt 102,Electronics,Accessories,87.97
P00103,Smart Backpack 103,Clothing,Men,341.84
P00104,Advanced Backpack 104,Clothing,Women,434.82
P00105,Classic Monitor 105,Clothing,Women,642.91
P00106,Modern Shirt 106,Electronics,Accessories,144.22
P00107,Modern Lamp 107,Books,Non-Fiction,701.95
P00108,Essential Headphones 108,Books,Fiction,665.59
P00109,Essential Lamp 109,Clothing,Men,134.81
P00110,Classic Chair 110,Clothing,Kids,300.64
P00111,Classic Chair 111,Home,Decor,282.76
P00112,Smart Backpack 112,Electronics,Accessories,625.23
P00113,Premium Headphones 113,Home,Furniture,180.41
P00114,Premium Lamp 114,Home,Decor,491.75
P00115,Premium Shirt 115,Home,Furniture,346.79
P00116,Modern Monitor 116,Home,Decor,201.38
P00117,Advanced Backpack 117,Books,Fiction,664.1
P00118,Classic Lamp 118,Electronics,Laptop,695.01
P00119,Essential Phone 119,Clothing,Women,689.31
P00120,  smart phone 120  ,Clothing,Kids,571.84
P00121,PREMIUM SHIRT 121,Home,Decor,757.22
P00122, Classic Lamp 122 ,Clothing,Kids,593.06
P00123,Premium Lamp 123,Electronics,Mobile,125.36
P00124,Smart Cookware 124,Books,Fiction,512.0
P00125,Classic Lamp 125,Electronics,Laptop,263.02
P00126,Smart Novel 126,Books,Fiction,428.54
P00127,Premium Headphones 127,Books,Non-Fiction,319.29
P00128,Advanced Monitor 128,Electronics,Accessories,278.07
P00129,Smart Notebook 129,Clothing,Kids,750.47
P00130,Classic Phone 130,Clothing,Women,322.61
P00131,Essential Lamp 131,Books,Academic,305.62
P00132,Advanced Phone 132,Home,Decor,713.04
P00133,Classic Cookware 133,Electronics,Laptop,339.72
P00134,Premium Monitor 134,Clothing,Women,305.83
P00135,Modern Monitor 135,Clothing,Women,322.06
P00136,Essential Notebook 136,Electronics,Mobile,231.69
P00137,Premium Lamp 137,Clothing,Kids,404.68
P00138,Essential Backpack 138,Home,Furniture,173.3
P00139,Classic Lamp 139,Clothing,Women,29.37
P00140,Premium Notebook 140,Books,Academic,398.09
P00141,Premium Notebook 141,Books,Academic,607.28
P00142,Classic Backpack 142,Books,Fiction,700.63
P00143,Classic Chair 143,Home,Kitchen,317.66
P00144,Advanced Headphones 144,Electronics,Laptop,378.05
P00145,Modern Shirt 145,Electronics,Mobile,428.5
P00146,Premium Backpack 146,Clothing,Kids,471.88
P00147,Premium Cookware 147,Books,Academic,226.62
P00148,Essential Monitor 148,Home,Furniture,738.02
P00149,Premium Novel 149,Clothing,Men,483.52
P00150,Essential Chair 150,Clothing,Women,679.5
P00151,Premium Lamp 151,Electronics,Laptop,658.67
P00152,Premium Novel 152,Home,Kitchen,135.17
P00153,Advanced Headphones 153,Clothing,Women,193.49
P00154,Advanced Phone 154,Clothing,Kids,762.28
P00155,Essential Cookware 155,Electronics,Mobile,270.75
P00156,Premium Lamp 156,Clothing,Men,562.68
P00157,Premium Novel 157,Electronics,Accessories,369.76
P00158,Essential Notebook 158,Electronics,Laptop,421.53
P00159,Classic Backpack 159,Clothing,Men,339.28
P00160,  classic backpack 160  ,Home,Decor,642.79
P00161,ADVANCED SHIRT 161,Home,Decor,792.64
P00162, Smart Headphones 162 ,Home,Furniture,622.22
P00163,Premium Lamp 163,Clothing,Women,500.08
P00164,Advanced Monitor 164,Books,Non-Fiction,541.35
P00165,Premium Cookware 165,Clothing,Men,23.36
P00166,Premium Cookware 166,Electronics,Accessories,76.8
P00167,Smart Headphones 167,Books,Non-Fiction,456.02
P00168,Classic Lamp 168,Clothing,Women,748.89
P00169,Essential Lamp 169,Home,Furniture,185.61
P00170,Classic Lamp 170,Home,Kitchen,171.36
P00171,Smart Headphones 171,Clothing,Men,634.59
P00172,Classic Headphones 172,Clothing,Kids,162.93
P00173,Modern Cookware 173,Home,Furniture,621.59
P00174,Essential Cookware 174,Clothing,Women,497.43
P00175,Premium Backpack 175,Home,Kitchen,690.58
P00176,Classic Notebook 176,Clothing,Men,787.46
P00177,Advanced Lamp 177,Books,Fiction,195.42
P00178,Advanced Headphones 178,Books,Non-Fiction,238.17
P00179,Smart Cookware 179,Books,Academic,359.42
P00180,Smart Chair 180,Home,Decor,431.59
P00181,Smart Monitor 181,Clothing,Men,661.23
P00182,Essential Shirt 182,Electronics,Mobile,732.39
P00183,Classic Novel 183,Electronics,Mobile,477.3
P00184,Advanced Monitor 184,Clothing,Men,515.61
P00185,Smart Notebook 185,Books,Non-Fiction,704.48
P00186,Classic Headphones 186,Electronics,Mobile,753.66
P00187,Advanced Shirt 187,Clothing,Women,396.27
P00188,Essential Cookware 188,Electronics,Laptop,186.12
P00189,Advanced Notebook 189,Home,Decor,10.57
P00190,Premium Lamp 190,Electronics,Laptop,577.06
P00191,Classic Notebook 191,Clothing,Kids,269.45
P00192,Premium Headphones 192,Home,Furniture,539.72
P00193,Advanced Backpack 193,Electronics,Mobile,369.36
P00194,Essential Phone 194,Electronics,Accessories,68.42
P00195,Modern Backpack 195,Books,Academic,173.29
P00196,Advanced Shirt 196,Electronics,Accessories,346.25
P00197,Modern Chair 197,Clothing,Women,227.13
P00198,Classic Backpack 198,Clothing,Women,315.35
P00199,Modern Notebook 199,Books,Fiction,242.11
P00200,  essential monitor 200  ,Electronics,Mobile,796.98
P00201,ADVANCED LAMP 201,Books,Non-Fiction,747.52
P00202, Essential Cookware 202 ,Clothing,Kids,255.72
P00203,Smart Cookware 203,Books,Academic,117.49
P00204,Advanced Headphones 204,Books,Non-Fiction,581.6
P00205,Classic Notebook 205,Books,Fiction,545.15
P00206,Modern Chair 206,Home,Furniture,199.39
P00207,Premium Monitor 207,Home,Decor,299.82
P00208,Classic Chair 208,Books,Non-Fiction,83.26
P00209,Smart Shirt 209,Books,Academic,474.76
P00210,Classic Headphones 210,Electronics,Laptop,305.71
P00211,Advanced Backpack 211,Electronics,Laptop,392.21
P00212,Advanced Notebook 212,Electronics,Laptop,183.59
P00213,Smart Headphones 213,Home,Furniture,303.33
P00214,Classic Lamp 214,Books,Non-Fiction,553.75
P00215,Premium Notebook 215,Books,Fiction,464.55
P00216,Modern Notebook 216,Clothing,Men,595.81
P00217,Smart Headphones 217,Books,Academic,25.38
P00218,Classic Lamp 218,Clothing,Men,156.37
P00219,Smart Notebook 219,Electronics,Accessories,573.23
P00220,Smart Cookware 220,Electronics,Laptop,466.2
P00221,Advanced Headphones 221,Books,Non-Fiction,262.2
P00222,Premium Phone 222,Books,Fiction,737.36
P00223,Advanced Cookware 223,Books,Academic,591.19
P00224,Modern Lamp 224,Electronics,Mobile,562.1
P00225,Premium Notebook 225,Home,Furniture,446.46
P00226,Smart Novel 226,Clothing,Men,613.54
P00227,Modern Notebook 227,Clothing,Women,70.56
P00228,Advanced Shirt 228,Electronics,Mobile,781.41
P00229,Smart Chair 229,Electronics,Mobile,675.54
P00230,Essential Notebook 230,Books,Non-Fiction,451.67
P00231,Smart Novel 231,Home,Kitchen,542.29
P00232,Smart Phone 232,Electronics,Mobile,708.18
P00233,Classic Cookware 233,Clothing,Kids,227.88
P00234,Advanced Chair 234,Electronics,Accessories,101.87
P00235,Classic Novel 235,Home,Decor,364.53
P00236,Classic Lamp 236,Books,Fiction,461.85
P00237,Classic Phone 237,Home,Decor,60.33
P00238,Smart Chair 238,Clothing,Men,663.32
P00239,Essential Shirt 239,Books,Fiction,265.19
P00240,  smart monitor 240  ,Electronics,Accessories,702.96
P00241,MODERN HEADPHONES 241,Home,Decor,448.32
P00242, Smart Phone 242 ,Electronics,Laptop,51.91
P00243,Modern Shirt 243,Electronics,Laptop,253.31
P00244,Classic Headphones 244,Books,Academic,430.97
P00245,Premium Notebook 245,Home,Kitchen,608.58
P00246,Premium Monitor 246,Home,Furniture,394.35
P00247,Classic Notebook 247,Clothing,Women,595.16
P00248,Smart Cookware 248,Electronics,Mobile,562.06
P00249,Essential Notebook 249,Clothing,Men,53.93
P00250,Advanced Cookware 250,Books,Fiction,539.33
P00251,Essential Chair 251,Home,Kitchen,396.66
P00252,Modern Backpack 252,Books,Academic,91.01
P00253,Smart Shirt 253,Clothing,Women,171.21
P00254,Classic Monitor 254,Books,Non-Fiction,442.3
P00255,Classic Shirt 255,Books,Non-Fiction,512.2
P00256,Modern Notebook 256,Electronics,Laptop,547.95
P00257,Classic Chair 257,Clothing,Kids,290.92
P00258,Essential Lamp 258,Clothing,Kids,252.89
P00259,Essential Notebook 259,Clothing,Men,279.29
P00260,Classic Phone 260,Books,Fiction,611.28
P00261,Modern Headphones 261,Electronics,Accessories,501.15
P00262,Premium Cookware 262,Clothing,Kids,258.58
P00263,Premium Notebook 263,Clothing,Men,81.48
P00264,Modern Headphones 264,Electronics,Mobile,742.19
P00265,Smart Headphones 265,Books,Non-Fiction,613.15
P00266,Premium Lamp 266,Home,Decor,154.27
P00267,Advanced Novel 267,Electronics,Mobile,642.03
P00268,Essential Novel 268,Clothing,Kids,310.67
P00269,Essential Headphones 269,Books,Non-Fiction,699.62
P00270,Modern Phone 270,Home,Furniture,72.33
P00271,Modern Headphones 271,Clothing,Women,423.92
P00272,Modern Lamp 272,Electronics,Laptop,523.78
P00273,Classic Chair 273,Home,Kitchen,738.46
P00274,Modern Headphones 274,Electronics,Accessories,160.42
P00275,Advanced Phone 275,Clothing,Kids,550.74
P00276,Premium Phone 276,Clothing,Kids,423.88
P00277,Smart Chair 277,Books,Fiction,77.24
P00278,Smart Cookware 278,Books,Fiction,589.13
P00279,Modern Shirt 279,Electronics,Laptop,523.22
P00280,  premium notebook 280  ,Electronics,Laptop,739.32
P00281,CLASSIC SHIRT 281,Home,Furniture,498.94
P00282, Advanced Novel 282 ,Electronics,Accessories,69.12
P00283,Essential Cookware 283,Home,Decor,784.88
P00284,Advanced Lamp 284,Home,Furniture,695.93
P00285,Modern Phone 285,Home,Furniture,683.45
P00286,Premium Headphones 286,Electronics,Accessories,662.92
P00287,Smart Headphones 287,Electronics,Laptop,640.71
P00288,Essential Shirt 288,Home,Furniture,418.11
P00289,Premium Headphones 289,Clothing,Men,704.37
P00290,Modern Cookware 290,Clothing,Kids,623.12
P00291,Advanced Backpack 291,Clothing,Women,484.76
P00292,Essential Phone 292,Clothing,Men,267.41
P00293,Essential Shirt 293,Clothing,Women,466.33
P00294,Premium Phone 294,Electronics,Mobile,436.76
P00295,Smart Lamp 295,Home,Decor,785.41
P00296,Essential Headphones 296,Home,Decor,753.3
P00297,Modern Chair 297,Books,Fiction,564.55
P00298,Essential Lamp 298,Clothing,Women,520.81
P00299,Classic Chair 299,Clothing,Men,631.91
P00300,Advanced Monitor 300,Home,Kitchen,397.41
P00301,Premium Chair 301,Clothing,Women,370.54
P00302,Smart Cookware 302,Books,Non-Fiction,273.1
P00303,Premium Shirt 303,Home,Furniture,337.86
P00304,Essential Monitor 304,Books,Non-Fiction,62.92
P00305,Modern Cookware 305,Books,Academic,504.5
P00306,Essential Lamp 306,Electronics,Laptop,314.45
P00307,Modern Shirt 307,Electronics,Accessories,358.96
P00308,Advanced Headphones 308,Books,Fiction,774.16
P00309,Advanced Backpack 309,Home,Kitchen,168.05
P00310,Essential Notebook 310,Home,Decor,237.75
P00311,Premium Monitor 311,Books,Non-Fiction,710.48
P00312,Smart Backpack 312,Home,Kitchen,771.77
P00313,Modern Notebook 313,Electronics,Mobile,80.93
P00314,Smart Headphones 314,Books,Academic,665.74
P00315,Essential Monitor 315,Home,Furniture,696.57
P00316,Smart Monitor 316,Home,Decor,356.11
P00317,Essential Lamp 317,Clothing,Women,639.06
P00318,Advanced Cookware 318,Home,Furniture,248.83
P00319,Modern Monitor 319,Clothing,Kids,711.09
P00320,  premium phone 320  ,Electronics,Laptop,188.03
P00321,MODERN NOTEBOOK 321,Books,Fiction,609.36
P00322, Classic Monitor 322 ,Electronics,Mobile,70.07
P00323,Smart Shirt 323,Electronics,Accessories,512.22
P00324,Advanced Headphones 324,Books,Fiction,701.93
P00325,Smart Phone 325,Electronics,Mobile,63.67
P00326,Essential Chair 326,Electronics,Accessories,127.29
P00327,Smart Headphones 327,Electronics,Mobile,167.65
P00328,Smart Monitor 328,Electronics,Accessories,304.4
P00329,Essential Headphones 329,Clothing,Women,131.54
P00330,Premium Cookware 330,Electronics,Laptop,442.21
P00331,Essential Shirt 331,Books,Academic,246.17
P00332,Advanced Chair 332,Electronics,Laptop,313.84
P00333,Essential Backpack 333,Electronics,Laptop,288.14
P00334,Advanced Chair 334,Home,Decor,655.22
P00335,Smart Chair 335,Electronics,Mobile,389.24
P00336,Advanced Shirt 336,Electronics,Mobile,448.98
P00337,Classic Lamp 337,Home,Kitchen,287.02
P00338,Premium Monitor 338,Home,Kitchen,558.99
P00339,Premium Notebook 339,Home,Kitchen,14.52
P00340,Essential Lamp 340,Books,Non-Fiction,784.58
P00341,Advanced Monitor 341,Clothing,Women,765.89
P00342,Essential Notebook 342,Books,Academic,348.16
P00343,Essential Novel 343,Home,Decor,262.63
P00344,Essential Backpack 344,Home,Kitchen,387.09
P00345,Advanced Cookware 345,Books,Fiction,74.87
P00346,Smart Backpack 346,Electronics,Mobile,732.29
P00347,Essential Monitor 347,Books,Academic,63.01
P00348,Essential Shirt 348,Electronics,Laptop,67.04
P00349,Essential Phone 349,Home,Kitchen,664.21
P00350,Classic Lamp 350,Home,Kitchen,145.08
P00351,Advanced Notebook 351,Electronics,Laptop,309.66
P00352,Advanced Monitor 352,Clothing,Kids,580.03
P00353,Advanced Shirt 353,Books,Non-Fiction,416.96
P00354,Essential Notebook 354,Clothing,Kids,362.16
P00355,Smart Chair 355,Books,Non-Fiction,719.84
P00356,Smart Phone 356,Clothing,Kids,796.6
P00357,Essential Phone 357,Clothing,Men,124.21
P00358,Advanced Chair 358,Electronics,Laptop,760.51
P00359,Modern Backpack 359,Clothing,Men,57.76
P00360,  modern notebook 360  ,Home,Furniture,274.0
P00361,CLASSIC LAMP 361,Books,Fiction,270.79
P00362, Premium Monitor 362 ,Books,Academic,97.22
P00363,Premium Notebook 363,Books,Fiction,190.14
P00364,Classic Chair 364,Electronics,Laptop,109.97
P00365,Premium Cookware 365,Electronics,Mobile,378.2
P00366,Modern Shirt 366,Home,Furniture,124.59
P00367,Advanced Lamp 367,Electronics,Laptop,538.66
P00368,Premium Novel 368,Electronics,Mobile,460.61
P00369,Smart Cookware 369,Electronics,Accessories,504.22
P00370,Premium Backpack 370,Home,Kitchen,427.15
P00371,Smart Backpack 371,Books,Fiction,461.97
P00372,Premium Headphones 372,Books,Academic,497.12
P00373,Premium Backpack 373,Electronics,Mobile,131.03
P00374,Classic Cookware 374,Clothing,Men,511.09
P00375,Smart Lamp 375,Clothing,Men,628.9
P00376,Essential Monitor 376,Books,Fiction,149.72
P00377,Advanced Notebook 377,Books,Academic,231.18
P00378,Modern Cookware 378,Books,Academic,797.92
P00379,Essential Notebook 379,Electronics,Laptop,157.91
P00380,Premium Cookware 380,Books,Non-Fiction,433.94
P00381,Advanced Shirt 381,Books,Non-Fiction,503.42
P00382,Modern Notebook 382,Electronics,Accessories,56.56
P00383,Advanced Lamp 383,Books,Non-Fiction,729.02
P00384,Advanced Cookware 384,Clothing,Kids,175.45
P00385,Advanced Novel 385,Books,Fiction,640.95
P00386,Premium Lamp 386,Clothing,Kids,464.25
P00387,Smart Shirt 387,Home,Decor,375.49
P00388,Essential Phone 388,Clothing,Men,154.71
P00389,Premium Headphones 389,Books,Fiction,667.05
P00390,Classic Phone 390,Home,Decor,243.76
P00391,Advanced Lamp 391,Books,Academic,381.6
P00392,Modern Novel 392,Clothing,Women,376.86
P00393,Premium Backpack 393,Home,Furniture,279.05
P00394,Advanced Backpack 394,Home,Furniture,484.04
P00395,Essential Headphones 395,Home,Kitchen,792.48
P00396,Smart Monitor 396,Books,Fiction,613.93
P00397,Modern Phone 397,Clothing,Women,205.2
P00398,Essential Notebook 398,Electronics,Accessories,246.31
P00399,Essential Backpack 399,Home,Decor,190.58
P00400,  essential headphones 400  ,Electronics,Laptop,487.39
P00401,PREMIUM SHIRT 401,Home,Furniture,297.72
P00402, Advanced Shirt 402 ,Electronics,Accessories,11.69
P00403,Advanced Lamp 403,Books,Non-Fiction,674.68
P00404,Classic Notebook 404,Books,Fiction,441.62
P00405,Premium Lamp 405,Electronics,Mobile,334.53
P00406,Smart Lamp 406,Home,Kitchen,713.1
P00407,Advanced Shirt 407,Electronics,Accessories,394.2
P00408,Modern Monitor 408,Clothing,Kids,598.25
P00409,Modern Shirt 409,Clothing,Kids,251.3
P00410,Premium Notebook 410,Electronics,Accessories,709.1
P00411,Advanced Shirt 411,Electronics,Mobile,216.91
P00412,Premium Headphones 412,Electronics,Mobile,224.65
P00413,Modern Notebook 413,Home,Furniture,471.61
P00414,Premium Cookware 414,Electronics,Laptop,402.03
P00415,Essential Monitor 415,Electronics,Accessories,741.15
P00416,Premium Chair 416,Electronics,Mobile,794.04
P00417,Essential Headphones 417,Books,Non-Fiction,434.02
P00418,Premium Notebook 418,Books,Fiction,243.49
P00419,Essential Backpack 419,Clothing,Women,40.35
P00420,Essential Cookware 420,Books,Non-Fiction,238.26
P00421,Premium Chair 421,Electronics,Laptop,257.79
P00422,Modern Phone 422,Books,Non-Fiction,218.47
P00423,Essential Notebook 423,Clothing,Kids,439.49
P00424,Modern Lamp 424,Electronics,Mobile,441.7
P00425,Essential Novel 425,Clothing,Kids,617.98
P00426,Classic Headphones 426,Home,Furniture,684.98
P00427,Advanced Headphones 427,Books,Academic,351.98
P00428,Essential Shirt 428,Electronics,Laptop,451.88
P00429,Essential Lamp 429,Electronics,Laptop,265.76
P00430,Advanced Backpack 430,Home,Kitchen,604.19
P00431,Premium Chair 431,Electronics,Laptop,130.9
P00432,Modern Lamp 432,Clothing,Women,555.59
P00433,Modern Notebook 433,Electronics,Laptop,720.44
P00434,Essential Shirt 434,Electronics,Accessories,243.81
P00435,Smart Novel 435,Clothing,Men,572.89
P00436,Advanced Cookware 436,Home,Kitchen,392.29
P00437,Modern Monitor 437,Books,Academic,655.31
P00438,Advanced Lamp 438,Books,Academic,757.86
P00439,Smart Headphones 439,Clothing,Men,651.91
P00440,  essential monitor 440  ,Electronics,Accessories,308.12
P00441,PREMIUM NOTEBOOK 441,Home,Kitchen,320.78
P00442, Modern Phone 442 ,Books,Academic,44.23
P00443,Modern Notebook 443,Clothing,Men,201.83
P00444,Advanced Phone 444,Clothing,Kids,366.09
P00445,Smart Cookware 445,Books,Non-Fiction,122.49
P00446,Smart Shirt 446,Books,Academic,153.58
P00447,Premium Shirt 447,Clothing,Women,598.8
P00448,Classic Shirt 448,Home,Furniture,723.49
P00449,Premium Cookware 449,Electronics,Mobile,788.84
P00450,Modern Chair 450,Home,Kitchen,668.75
P00451,Classic Shirt 451,Clothing,Women,369.34
P00452,Classic Cookware 452,Electronics,Laptop,429.88
P00453,Classic Headphones 453,Clothing,Men,263.68
P00454,Premium Phone 454,Clothing,Men,149.11
P00455,Premium Backpack 455,Books,Fiction,692.5
P00456,Modern Notebook 456,Clothing,Men,717.25
P00457,Modern Headphones 457,Clothing,Men,721.29
P00458,Essential Notebook 458,Books,Academic,20.44
P00459,Premium Phone 459,Home,Decor,441.22
P00460,Smart Backpack 460,Home,Kitchen,349.11
P00461,Modern Cookware 461,Clothing,Kids,714.62
P00462,Classic Backpack 462,Books,Academic,513.64
P00463,Essential Backpack 463,Books,Academic,187.85
P00464,Modern Novel 464,Electronics,Accessories,90.82
P00465,Classic Headphones 465,Home,Decor,500.03
P00466,Smart Chair 466,Books,Non-Fiction,669.63
P00467,Premium Monitor 467,Clothing,Women,349.17
P00468,Classic Notebook 468,Electronics,Mobile,95.39
P00469,Premium Phone 469,Clothing,Kids,67.76
P00470,Classic Novel 470,Home,Kitchen,741.56
P00471,Essential Phone 471,Books,Fiction,470.22
P00472,Essential Chair 472,Clothing,Women,144.2
P00473,Premium Shirt 473,Books,Non-Fiction,158.78
P00474,Classic Headphones 474,Books,Academic,319.96
P00475,Advanced Shirt 475,Electronics,Laptop,162.37
P00476,Modern Cookware 476,Home,Kitchen,771.45
P00477,Modern Chair 477,Clothing,Women,544.97
P00478,Classic Monitor 478,Clothing,Women,681.8
P00479,Modern Backpack 479,Books,Fiction,780.95
P00480,  advanced phone 480  ,Electronics,Accessories,531.14
P00481,CLASSIC LAMP 481,Books,Non-Fiction,307.98
P00482, Essential Chair 482 ,Clothing,Men,769.66
P00483,Premium Lamp 483,Electronics,Laptop,93.41
P00484,Premium Monitor 484,Books,Non-Fiction,100.15
P00485,Advanced Headphones 485,Home,Decor,54.95
P00486,Advanced Lamp 486,Home,Decor,686.89
P00487,Essential Cookware 487,Electronics,Laptop,67.04
P00488,Premium Chair 488,Home,Kitchen,332.81
P00489,Advanced Notebook 489,Books,Fiction,721.5
P00490,Smart Backpack 490,Clothing,Kids,499.02
P00491,Smart Novel 491,Electronics,Mobile,123.1
P00492,Premium Notebook 492,Electronics,Laptop,72.13
P00493,Classic Shirt 493,Home,Kitchen,361.34
P00494,Classic Phone 494,Electronics,Accessories,771.88
P00495,Essential Lamp 495,Clothing,Kids,168.94
P00496,Modern Shirt 496,Home,Decor,632.29
P00497,Advanced Notebook 497,Home,Furniture,49.99
P00498,Classic Lamp 498,Clothing,Men,192.2
P00499,Smart Monitor 499,Clothing,Kids,705.24
P00500,Advanced Phone 500,Books,Non-Fiction,662.53
