order_id,customer_id,order_date,status,region_code
O000090,C00427,2026-04-15 18:53:45,PLACED,CENTRAL
O000091,C00244,2025-11-27 07:57:46,DELIVERED,EAST
O000092,C00256,2025-03-05 18:19:01,DELIVERED,SOUTH
O000093,C00256,2025-02-13 05:15:05,DELIVERED,SOUTH
O000094,C00426,2026-03-08 23:27:34,RETURNED,SOUTH
O000095,C00159,2025-09-15 00:45:05,RETURNED,NORTH
O000096,C00545,2026-04-06 05:49:53,CANCELLED,CENTRAL
O000097,C00585,2025-01-13 00:03:30,RETURNED,WEST
O000098,C00529,2025-01-04 06:59:13,DELIVERED,EAST
O000099,C00204,2025-03-10 03:04:46,DELIVERED,WEST
O000100,,2025-03-13 19:55:02,SHIPPED,WEST
O000101,C00376,2025-01-06 20:18:25,DELIVERED,SOUTH
O000102,C00486,2025-12-21 13:21:13,PLACED,CENTRAL
O000103,C00006,2025-09-07 13:20:52,DELIVERED,SOUTH
O000104,C00497,2026-04-08 21:12:00,DELIVERED,EAST
O000105,C00512,2026-07-05 07:47:29,PLACED,CENTRAL
O000106,C00353,2025-02-16 23:54:27,SHIPPED,SOUTH
O000107,C00372,2025-10-25 13:14:51,PLACED,CENTRAL
O000108,C00598,2025-12-29 03:07:51,CANCELLED,CENTRAL
O000109,C00253,2025-08-03 15:16:48,DELIVERED,EAST
O000110,C00125,2025-11-13 08:37:05,PLACED,SOUTH
O000111,C00109,2025-05-16 22:34:43,DELIVERED,NORTH
O000112,C00559,2025-07-29 12:37:29,RETURNED,WEST
O000113,C00489,2026-01-12 20:32:49,SHIPPED,NORTH
O000114,C00081,2025-04-13 17:28:47,DELIVERED,SOUTH
O000115,C00307,2026-07-13 13:02:10,SHIPPED,WEST
O000116,C00085,2025-10-24 23:33:50,DELIVERED,WEST
O000117,C00391,2025-04-30 06:46:05,PLACED,SOUTH
O000118,C00484,2026-06-09 20:47:17,SHIPPED,WEST
O000119,C00512,2025-10-31 00:58:49,DELIVERED,CENTRAL
O000120,,2025-07-05 03:50:00,PLACED,WEST
O000121,C00398,2026-06-14 03:13:39,SHIPPED,CENTRAL
O000122,C00185,2025-11-22 22:20:34,DELIVERED,SOUTH
O000123,C00198,2026-05-28 18:56:42,DELIVERED,EAST
O000124,C00211,2025-12-04 05:34:21,CANCELLED,SOUTH
O000125,C00279,2025-08-16 20:10:37,SHIPPED,WEST
O000126,C00164,2025-03-06 21:06:46,DELIVERED,EAST
O000127,C00373,2025-04-30 07:19:16,SHIPPED,SOUTH
O000128,C00378,2026-06-09 20:12:24,DELIVERED,WEST
O000129,C00491,2025-04-19 00:20:32,DELIVERED,CENTRAL
O000130,C00457,2025-03-12 09:07:41,DELIVERED,WEST
O000131,C00330,2025-04-20 17:28:44,DELIVERED,NORTH
O000132,C00544,2025-07-10 17:43:28,SHIPPED,WEST
O000133,C00201,2026-06-09 06:35:38,DELIVERED,WEST
O000134,C00212,2025-06-23 05:46:06,DELIVERED,WEST
O000135,C00305,2025-10-15 20:14:40,PLACED,WEST
O000136,C00007,2026-04-17 23:58:25,DELIVERED,EAST
O000137,C00424,2025-06-18 19:42:09,PLACED,EAST
O000138,C00585,2025-10-15 11:59:19,DELIVERED,NORTH
O000139,C00221,2026-01-23 00:40:29,DELIVERED,SOUTH
O000140,,2026-02-01 19:33:00,DELIVERED,WEST
O000141,C00062,2025-02-16 04:44:13,PLACED,WEST
O000142,C00396,2026-06-01 02:18:32,DELIVERED,WEST
O000143,C00215,2025-05-10 14:09:27,PLACED,CENTRAL
O000144,C00553,2026-02-04 10:28:01,DELIVERED,CENTRAL
O000145,C00223,2026-03-28 07:48:48,DELIVERED,SOUTH
O000146,C00394,2025-03-08 00:43:21,DELIVERED,CENTRAL
O000147,C00462,2025-02-17 23:12:43,PLACED,CENTRAL
O000148,C00456,2025-04-05 20:02:44,DELIVERED,EAST
O000149,C00565,2025-08-20 20:37:55,DELIVERED,NORTH
O000150,C00437,2026-03-02 02:01:35,CANCELLED,NORTH
O000151,C00030,2025-05-01 12:34:02,PLACED,SOUTH
O000152,C00242,2026-01-10 22:14:24,DELIVERED,WEST
O000153,C00013,2025-06-04 16:17:40,DELIVERED,WEST
O000154,C00017,2025-10-18 06:55:52,PLACED,CENTRAL
O000155,C00540,2026-01-15 17:36:23,DELIVERED,SOUTH
O000156,C00291,2026-06-22 17:05:20,DELIVERED,SOUTH
O000157,C00246,2025-08-12 23:37:47,PLACED,WEST
O000158,C00555,2025-09-17 09:17:00,DELIVERED,SOUTH
O000159,C00335,2025-06-28 12:18:50,DELIVERED,NORTH
O000160,,2026-04-26 11:03:52,DELIVERED,NORTH
O000161,C00365,2025-12-11 14:42:05,SHIPPED,SOUTH
O000162,C00256,2025-12-23 12:11:19,DELIVERED,WEST
O000163,C00250,2025-02-07 18:10:18,PLACED,NORTH
O000164,C00350,2025-05-15 17:26:50,DELIVERED,NORTH
O000165,C00028,2025-04-13 10:20:28,DELIVERED,SOUTH
O000166,C00441,2026-05-07 12:26:23,PLACED,EAST
O000167,C00576,2025-12-17 10:38:11,CANCELLED,EAST
O000168,C00200,2026-02-21 14:04:19,SHIPPED,EAST
O000169,C00093,2025-12-15 09:50:48,DELIVERED,CENTRAL
O000170,C00046,2026-06-07 15:43:13,SHIPPED,SOUTH
O000171,C00166,2025-07-07 09:08:08,DELIVERED,EAST
O000172,C00379,2026-01-28 04:07:26,SHIPPED,WEST
O000173,C00006,2025-07-11 01:48:08,DELIVERED,SOUTH
O000174,C00482,2026-05-15 18:04:08,SHIPPED,WEST
O000175,C00020,2025-01-08 23:08:48,PLACED,NORTH
O000176,C00454,2025-02-15 09:15:24,PLACED,SOUTH
O000177,C00187,2026-01-21 03:49:15,RETURNED,NORTH
O000178,C00307,2025-05-31 22:35:21,PLACED,CENTRAL
O000179,C00478,2026-01-14 05:27:00,PLACED,SOUTH
O000180,,2026-01-05 05:15:44,SHIPPED,WEST
O000181,C00117,2025-05-08 09:45:30,DELIVERED,WEST
O000182,C00404,2026-03-03 06:29:10,RETURNED,CENTRAL
O000183,C00537,2026-07-19 17:17:20,DELIVERED,NORTH
O000184,C00093,2026-07-10 08:14:43,PLACED,WEST
O000185,C00519,2025-12-06 21:54:20,DELIVERED,CENTRAL
O000186,C00188,2025-05-15 07:35:31,SHIPPED,EAST
O000187,C00409,2025-04-03 11:14:59,PLACED,EAST
O000188,C00249,2026-03-26 05:13:28,CANCELLED,EAST
O000189,C00394,2025-11-15 18:35:29,DELIVERED,WEST
O000190,C00276,2026-03-29 05:14:16,DELIVERED,NORTH
O000191,C00034,2025-12-21 04:57:51,PLACED,WEST
O000192,C00458,2026-07-21 13:36:18,RETURNED,CENTRAL
O000193,C00184,2025-01-01 01:13:27,PLACED,EAST
O000194,C00516,2026-06-16 04:42:53,DELIVERED,SOUTH
O000195,C00224,2025-01-22 03:14:15,DELIVERED,NORTH
O000196,C00141,2025-02-20 16:54:38,DELIVERED,SOUTH
O000197,C00232,2026-04-02 20:22:25,DELIVERED,WEST
O000198,C00042,2026-05-27 14:36:56,DELIVERED,SOUTH
O000199,C00506,2026-04-23 04:33:26,DELIVERED,WEST
O000200,,2026-05-03 01:50:57,DELIVERED,CENTRAL
O000201,C00554,2025-08-18 16:14:27,DELIVERED,SOUTH
O000202,C00043,2025-12-22 19:52:58,SHIPPED,NORTH
O000203,C00082,2026-05-25 12:47:03,DELIVERED,CENTRAL
O000204,C00368,2025-08-25 03:47:22,SHIPPED,WEST
O000205,C00121,2026-06-12 06:37:28,SHIPPED,SOUTH
O000206,C00298,2025-08-15 10:13:46,DELIVERED,EAST
O000207,C00123,2026-05-23 17:49:10,CANCELLED,SOUTH
O000208,C00526,2025-11-20 14:23:24,DELIVERED,NORTH
O000209,C00362,2025-02-24 02:54:38,PLACED,CENTRAL
O000210,C00196,2026-03-09 13:08:41,DELIVERED,NORTH
O000211,C00143,2026-02-06 15:50:10,PLACED,CENTRAL
O000212,C00496,2025-03-24 06:01:12,DELIVERED,WEST
O000213,C00134,2026-05-12 09:30:46,DELIVERED,CENTRAL
O000214,C00024,2025-11-30 19:43:11,DELIVERED,NORTH
O000215,C00074,2025-01-19 06:33:36,DELIVERED,WEST
O000216,C00056,2025-11-13 22:17:26,PLACED,NORTH
O000217,C00461,2025-08-13 00:19:19,DELIVERED,NORTH
O000218,C00403,2026-04-06 19:28:40,PLACED,WEST
O000219,C00225,2026-03-21 16:51:05,PLACED,NORTH
O000220,,2026-02-16 18:52:19,SHIPPED,WEST
O000221,C00240,2025-11-06 18:12:35,DELIVERED,CENTRAL
O000222,C00586,2025-09-07 03:56:30,SHIPPED,CENTRAL
O000223,C00075,2025-03-17 13:30:07,SHIPPED,SOUTH
O000224,C00370,2025-11-26 03:55:26,DELIVERED,SOUTH
O000225,C00275,2026-02-11 14:24:51,DELIVERED,SOUTH
O000226,C00296,2025-11-06 17:24:05,PLACED,CENTRAL
O000227,C00383,2026-07-08 01:17:16,DELIVERED,WEST
O000228,C00451,2026-03-21 18:18:36,DELIVERED,EAST
O000229,C00032,2025-08-31 19:18:17,PLACED,WEST
O000230,C00222,2025-05-27 22:51:52,DELIVERED,WEST
O000231,C00070,2026-01-02 10:47:55,DELIVERED,NORTH
O000232,C00444,2025-03-01 22:35:22,PLACED,NORTH
O000233,C00063,2025-06-05 23:03:53,PLACED,SOUTH
O000234,C00599,2026-04-21 05:17:50,PLACED,EAST
O000235,C00136,2026-07-20 13:07:13,CANCELLED,CENTRAL
O000236,C00415,2026-05-06 03:35:41,RETURNED,WEST
O000237,C00381,2025-08-17 12:12:39,PLACED,CENTRAL
O000238,C00348,2025-01-15 04:47:25,CANCELLED,CENTRAL
O000239,C00020,2025-07-26 19:53:44,RETURNED,EAST
O000240,,2025-11-05 09:28:49,PLACED,EAST
O000241,C00525,2025-11-06 02:06:01,RETURNED,CENTRAL
O000242,C00485,2025-07-23 13:33:31,PLACED,CENTRAL
O000243,C00366,2026-02-05 16:58:20,CANCELLED,CENTRAL
O000244,C00238,2025-07-08 22:33:11,SHIPPED,SOUTH
O000245,C00451,2025-08-21 10:46:51,PLACED,NORTH
O000246,C00270,2025-01-01 07:22:17,DELIVERED,EAST
O000247,C00543,2025-05-18 10:11:01,RETURNED,SOUTH
O000248,C00496,2026-05-10 21:37:32,SHIPPED,CENTRAL
O000249,C00506,2025-11-16 21:20:16,DELIVERED,SOUTH
O000250,C00513,2025-08-20 14:05:27,CANCELLED,CENTRAL
O000251,C00502,2026-01-07 23:19:55,CANCELLED,SOUTH
O000252,C00497,2026-03-10 12:00:11,DELIVERED,SOUTH
O000253,C00379,2026-04-14 15:44:40,DELIVERED,EAST
O000254,C00474,2026-02-17 06:18:06,PLACED,SOUTH
O000255,C00511,2026-04-06 14:22:35,CANCELLED,NORTH
O000256,C00564,2026-04-18 07:39:07,DELIVERED,WEST
O000257,C00517,2025-01-08 14:45:32,DELIVERED,SOUTH
O000258,C00348,2025-08-21 06:02:44,DELIVERED,NORTH
O000259,C00365,2026-02-13 02:09:55,CANCELLED,CENTRAL
O000260,,2025-05-23 19:22:52,DELIVERED,CENTRAL
O000261,C00479,2026-02-03 10:43:39,DELIVERED,EAST
O000262,C00322,2025-01-09 19:22:15,SHIPPED,SOUTH
O000263,C00129,2025-02-08 08:28:26,CANCELLED,WEST
O000264,C00531,2025-11-03 11:24:30,PLACED,CENTRAL
O000265,C00375,2025-01-11 13:00:22,PLACED,EAST
O000266,C00288,2025-08-25 03:30:12,RETURNED,NORTH
O000267,C00555,2025-02-03 14:49:13,SHIPPED,EAST
O000268,C00468,2025-01-20 02:49:08,PLACED,CENTRAL
O000269,C00169,2025-06-14 04:35:25,CANCELLED,WEST
O000270,C00054,2025-09-20 19:38:57,SHIPPED,EAST
O000271,C00159,2025-03-23 02:06:22,SHIPPED,NORTH
O000272,C00427,2025-10-13 08:38:15,PLACED,SOUTH
O000273,C00306,2025-02-08 07:51:41,DELIVERED,EAST
O000274,C00020,2025-05-29 04:56:43,DELIVERED,SOUTH
O000275,C00394,2026-06-07 21:59:42,DELIVERED,EAST
O000276,C00357,2025-09-12 18:56:59,DELIVERED,SOUTH
O000277,C00595,2025-02-26 10:03:43,DELIVERED,EAST
O000278,C00419,2025-07-06 05:59:56,PLACED,CENTRAL
O000279,C00546,2025-06-21 21:46:00,SHIPPED,SOUTH
O000280,,2026-04-28 01:43:27,DELIVERED,SOUTH
O000281,C00169,2025-01-02 13:15:40,DELIVERED,NORTH
O000282,C00280,2025-04-22 05:57:34,CANCELLED,SOUTH
O000283,C00112,2025-01-26 22:54:16,RETURNED,CENTRAL
O000284,C00540,2026-01-18 05:51:10,RETURNED,CENTRAL
O000285,C00003,2025-01-18 04:47:34,SHIPPED,EAST
O000286,C00578,2026-06-06 08:14:21,CANCELLED,WEST
O000287,C00027,2025-08-29 17:49:42,RETURNED,CENTRAL
O000288,C00297,2025-04-23 14:13:05,DELIVERED,EAST
O000289,C00392,2025-09-16 21:35:46,DELIVERED,SOUTH
O000290,C00082,2025-05-19 22:53:41,PLACED,EAST
O000291,C00011,2026-01-22 19:28:48,DELIVERED,CENTRAL
O000292,C00041,2025-10-05 20:03:54,SHIPPED,CENTRAL
O000293,C00331,2025-05-19 01:50:42,DELIVERED,SOUTH
O000294,C00546,2025-10-23 02:15:40,DELIVERED,SOUTH
O000295,C00113,2026-04-17 23:44:46,PLACED,SOUTH
O000296,C00038,2025-10-26 12:16:19,PLACED,NORTH
O000297,C00318,2025-07-22 15:38:28,DELIVERED,SOUTH
O000298,C00515,2026-04-30 02:27:58,RETURNED,EAST
O000299,C00424,2025-08-11 14:47:16,DELIVERED,CENTRAL
O000300,,2025-12-05 02:19:13,PLACED,WEST
O000301,C00361,2026-01-13 23:28:06,SHIPPED,CENTRAL
O000302,C00584,2026-01-02 03:51:00,DELIVERED,EAST
O000303,C00457,2025-12-27 10:38:16,PLACED,EAST
O000304,C00385,2025-01-08 00:57:53,SHIPPED,EAST
O000305,C00454,2026-02-07 21:04:49,PLACED,NORTH
O000306,C00465,2025-03-15 15:29:42,CANCELLED,NORTH
O000307,C00085,2026-07-22 06:02:06,PLACED,SOUTH
O000308,C00586,2025-02-10 08:31:30,DELIVERED,NORTH
O000309,C00511,2026-03-06 01:16:49,DELIVERED,SOUTH
O000310,C00325,2025-08-23 04:54:43,DELIVERED,EAST
O000311,C00443,2026-01-27 20:23:09,PLACED,CENTRAL
O000312,C00250,2025-12-01 08:53:13,DELIVERED,CENTRAL
O000313,C00105,2025-12-17 22:14:25,DELIVERED,EAST
O000314,C00359,2026-02-04 08:55:37,DELIVERED,NORTH
O000315,C00136,2025-07-16 04:41:00,DELIVERED,EAST
O000316,C00143,2025-10-22 09:40:57,DELIVERED,SOUTH
O000317,C00336,2026-06-26 13:25:28,RETURNED,EAST
O000318,C00290,2025-05-28 02:18:31,RETURNED,EAST
O000319,C00590,2026-03-18 22:14:24,DELIVERED,WEST
O000320,,2025-09-20 12:23:32,DELIVERED,SOUTH
O000321,C00474,2025-08-27 23:25:38,PLACED,NORTH
O000322,C00110,2025-10-26 07:27:42,CANCELLED,SOUTH
O000323,C00359,2025-09-08 03:58:20,DELIVERED,EAST
O000324,C00149,2025-11-09 05:09:04,DELIVERED,EAST
O000325,C00430,2025-01-15 08:37:03,CANCELLED,CENTRAL
O000326,C00259,2025-06-12 14:05:13,DELIVERED,CENTRAL
O000327,C00194,2026-02-11 13:56:05,SHIPPED,CENTRAL
O000328,C00267,2025-08-21 15:43:06,PLACED,NORTH
O000329,C00439,2025-05-02 03:30:45,SHIPPED,CENTRAL
O000330,C00491,2026-07-15 20:42:44,PLACED,EAST
O000331,C00188,2025-04-09 23:02:13,PLACED,EAST
O000332,C00391,2026-06-24 00:38:42,PLACED,NORTH
O000333,C00201,2025-04-27 05:31:17,RETURNED,EAST
O000334,C00310,2025-11-10 12:36:08,PLACED,WEST
O000335,C00122,2025-11-09 00:07:45,SHIPPED,EAST
O000336,C00489,2025-09-05 02:12:40,PLACED,CENTRAL
O000337,C00004,2025-10-06 20:26:09,CANCELLED,CENTRAL
O000338,C00493,2025-01-01 13:43:35,DELIVERED,EAST
O000339,C00184,2025-09-20 23:20:10,PLACED,NORTH
O000340,,2025-08-17 08:12:48,DELIVERED,SOUTH
O000341,C00294,2025-08-13 15:41:03,DELIVERED,NORTH
O000342,C00137,2026-06-06 23:38:14,PLACED,EAST
O000343,C00479,2026-07-28 06:09:44,SHIPPED,EAST
O000344,C00558,2025-05-04 17:43:25,SHIPPED,CENTRAL
O000345,C00511,2025-02-03 17:54:03,PLACED,NORTH
O000346,C00143,2025-07-03 22:02:13,SHIPPED,WEST
O000347,C00053,2025-05-14 19:50:37,DELIVERED,WEST
O000348,C00309,2026-04-13 19:14:23,DELIVERED,WEST
O000349,C00077,2026-03-13 17:34:43,PLACED,SOUTH
O000350,C00344,2025-10-22 16:34:43,PLACED,NORTH
O000351,C00580,2025-03-03 18:53:59,RETURNED,WEST
O000352,C00142,2026-04-14 19:52:02,SHIPPED,CENTRAL
O000353,C00488,2025-06-10 00:46:48,PLACED,EAST
O000354,C00029,2026-06-17 12:03:37,PLACED,SOUTH
O000355,C00373,2026-05-10 11:50:57,SHIPPED,NORTH
O000356,C00215,2025-10-09 05:44:17,PLACED,CENTRAL
O000357,C00134,2026-05-28 08:44:02,RETURNED,CENTRAL
O000358,C00475,2026-03-15 14:07:26,SHIPPED,NORTH
O000359,C00578,2025-05-25 02:32:15,DELIVERED,NORTH
O000360,,2025-10-18 21:20:35,DELIVERED,WEST
O000361,C00048,2026-02-04 12:01:52,DELIVERED,NORTH
O000362,C00193,2025-08-15 19:18:22,DELIVERED,EAST
O000363,C00249,2025-07-13 01:24:47,DELIVERED,EAST
O000364,C00071,2025-02-24 01:13:38,DELIVERED,WEST
O000365,C00323,2026-04-19 23:24:36,RETURNED,NORTH
O000366,C00517,2025-11-16 06:00:48,DELIVERED,SOUTH
O000367,C00431,2025-02-06 19:18:54,DELIVERED,NORTH
O000368,C00110,2026-04-03 21:39:12,CANCELLED,EAST
O000369,C00197,2025-05-20 04:16:23,DELIVERED,EAST
O000370,C00376,2026-03-16 11:06:05,DELIVERED,WEST
O000371,C00177,2026-06-09 19:42:44,DELIVERED,WEST
O000372,C00436,2025-11-01 09:37:29,PLACED,CENTRAL
O000373,C00393,2025-07-26 13:32:47,DELIVERED,WEST
O000374,C00455,2025-11-25 15:06:10,DELIVERED,EAST
O000375,C00333,2025-04-25 02:41:51,SHIPPED,WEST
O000376,C00087,2025-11-23 19:53:29,DELIVERED,EAST
O000377,C00417,2025-05-10 20:46:03,DELIVERED,WEST
O000378,C00385,2025-08-14 20:57:04,SHIPPED,SOUTH
O000379,C00304,2025-01-26 05:44:49,SHIPPED,NORTH
O000380,,2025-02-12 07:38:21,DELIVERED,NORTH
O000381,C00494,2025-05-16 10:27:35,DELIVERED,EAST
O000382,C00153,2025-01-23 22:10:50,PLACED,NORTH
O000383,C00097,2026-01-10 02:32:45,PLACED,EAST
O000384,C00332,2025-09-14 00:01:05,DELIVERED,SOUTH
O000385,C00226,2025-05-31 04:29:06,DELIVERED,NORTH
O000386,C00441,2026-07-28 18:26:58,PLACED,EAST
O000387,C00183,2025-07-22 19:47:37,SHIPPED,SOUTH
O000388,C00210,2026-06-29 04:59:13,PLACED,SOUTH
O000389,C00261,2026-06-20 08:42:15,PLACED,CENTRAL
O000390,C00493,2025-06-28 20:20:18,RETURNED,SOUTH
O000391,C00062,2025-06-15 17:09:45,DELIVERED,EAST
O000392,C00198,2025-01-31 18:10:38,DELIVERED,NORTH
O000393,C00531,2026-05-06 15:16:08,PLACED,SOUTH
O000394,C00210,2025-01-09 00:53:31,DELIVERED,WEST
O000395,C00501,2025-06-02 05:14:57,DELIVERED,EAST
O000396,C00584,2025-05-20 14:36:21,DELIVERED,WEST
O000397,C00236,2025-08-19 08:54:39,DELIVERED,CENTRAL
O000398,C00232,2025-03-16 22:46:56,PLACED,CENTRAL
O000399,C00329,2025-11-21 15:14:12,DELIVERED,EAST
O000400,,2026-03-12 01:30:43,DELIVERED,NORTH
O000401,C00547,2025-07-27 02:11:42,DELIVERED,WEST
O000402,C00387,2025-11-18 08:30:51,PLACED,SOUTH
O000403,C00348,2026-02-22 07:25:42,DELIVERED,WEST
O000404,C00309,2025-03-10 11:58:28,SHIPPED,CENTRAL
O000405,C00200,2026-03-10 18:08:46,PLACED,NORTH
O000406,C00404,2025-03-14 11:15:20,DELIVERED,EAST
O000407,C00300,2025-12-03 14:18:42,PLACED,EAST
O000408,C00333,2025-12-21 11:19:27,PLACED,CENTRAL
O000409,C00182,2026-01-04 14:27:35,SHIPPED,EAST
O000410,C00510,2026-05-17 08:42:20,PLACED,SOUTH
O000411,C00381,2026-06-10 19:57:11,PLACED,SOUTH
O000412,C00348,2026-05-02 22:55:13,SHIPPED,EAST
O000413,C00369,2026-04-06 16:35:58,DELIVERED,SOUTH
O000414,C00416,2026-02-19 03:01:41,DELIVERED,EAST
O000415,C00533,2025-10-13 08:05:04,DELIVERED,CENTRAL
O000416,C00297,2025-09-24 17:30:55,DELIVERED,WEST
O000417,C00527,2026-07-22 22:48:22,DELIVERED,NORTH
O000418,C00005,2026-01-14 12:45:03,DELIVERED,SOUTH
O000419,C00147,2026-05-04 14:04:41,DELIVERED,WEST
O000420,,2026-04-10 02:11:33,DELIVERED,EAST
O000421,C00466,2026-07-22 15:02:42,DELIVERED,WEST
O000422,C00132,2025-06-25 00:28:47,DELIVERED,CENTRAL
O000423,C00286,2025-05-30 00:14:56,DELIVERED,SOUTH
O000424,C00304,2025-05-29 06:39:32,DELIVERED,NORTH
O000425,C00314,2025-11-23 06:07:34,DELIVERED,WEST
O000426,C00568,2026-04-24 13:55:46,DELIVERED,SOUTH
O000427,C00534,2026-04-09 04:03:46,RETURNED,CENTRAL
O000428,C00248,2026-02-07 21:59:35,DELIVERED,SOUTH
O000429,C00082,2025-01-21 14:51:48,DELIVERED,EAST
