item_id,order_id,product_id,quantity,unit_price,discount_percent
I0000112,O000931,P00150,7,281.82,13.41
I0000113,O000540,P00290,2,199.5,25.23
I0000114,O000545,P00272,1,414.97,18.65
I0000115,O000960,P00333,1,591.46,3.98
I0000116,O000988,P00040,1,836.31,8.95
I0000117,O000405,P00306,1,826.11,1.71
I0000118,O000774,P00297,4,962.56,30.22
I0000119,O000636,P00496,6,906.71,12.78
I0000120,O000984,P00483,5,939.51,5.2
I0000121,O000926,P00245,7,973.68,1.18
I0000122,O000771,P00253,4,22.76,16.23
I0000123,O000585,P00485,1,1157.35,24.15
I0000124,O000807,P00472,7,938.7,17.22
I0000125,O000416,P00114,6,60.63,19.92
I0000126,O000140,P00169,6,27.36,29.54
I0000127,O000708,P00417,5,725.41,13.25
I0000128,O000643,P00295,6,494.85,29.54
I0000129,O000286,P00110,3,47.51,13.2
I0000130,O000244,P00083,2,700.62,19.88
I0000131,O000087,P00055,1,614.99,24.34
I0000132,O000492,P00346,-2,168.75,27.01
I0000133,O000654,P00028,5,506.39,19.48
I0000134,O000321,P00368,4,1011.58,4.64
I0000135,O000123,P00092,6,954.17,0.47
I0000136,O000660,P00052,1,136.23,20.08
I0000137,O000718,P00483,8,32.66,28.88
I0000138,O000614,P00266,8,657.57,22.96
I0000139,O000325,P00271,6,881.65,15.67
I0000140,O000185,P00352,3,1067.33,9.93
I0000141,O000535,P00192,1,1196.75,19.0
I0000142,O000597,P00375,1,364.61,0.73
I0000143,O000920,P00324,4,409.99,24.6
I0000144,O000803,P00166,7,1001.47,21.06
I0000145,O000235,P00087,7,158.39,17.52
I0000146,O000691,P00125,2,869.09,32.41
I0000147,O000542,P00360,8,508.02,32.35
I0000148,O000756,P00078,6,525.47,33.29
I0000149,O000821,P00341,8,949.02,4.76
I0000150,O000733,P00024,7,541.85,8.82
I0000151,O000644,P00440,5,947.65,29.21
I0000152,O000501,P00313,8,136.73,3.18
I0000153,O000892,P00080,6,553.28,0.48
I0000154,O000642,P00126,2,372.09,22.35
I0000155,O000277,P00266,4,633.73,0.68
I0000156,O000074,P00219,1,615.39,16.32
I0000157,O000480,P00011,2,411.65,30.84
I0000158,O000755,P00325,7,894.61,19.44
I0000159,O000754,P00477,4,1061.82,13.64
I0000160,O000385,P00130,6,829.59,14.03
I0000161,O000430,P00023,8,605.59,22.16
I0000162,O000284,P00410,7,955.22,31.55
I0000163,O000444,P00352,8,805.6,12.17
I0000164,O000168,P00046,1,1084.76,32.03
I0000165,O000786,P00239,-3,343.66,29.02
I0000166,O000714,P00430,8,377.45,20.81
I0000167,O000231,P00293,3,51.53,18.27
I0000168,O000715,P00154,5,1195.15,19.91
I0000169,O000303,P00178,8,546.11,12.08
I0000170,O000870,P00483,3,61.55,32.32
I0000171,O000217,P00285,1,944.87,15.28
I0000172,O000337,P00178,1,50.53,8.17
I0000173,O000101,P00198,5,173.05,17.48
I0000174,O000044,P00294,6,884.01,28.49
I0000175,O000655,P00268,6,339.3,31.21
I0000176,O000942,P00403,3,156.44,7.2
I0000177,O000871,P00289,7,309.56,0.79
I0000178,O000334,P00211,5,954.29,6.32
I0000179,O000825,P00254,7,915.86,5.54
I0000180,O000337,P00091,5,434.41,33.41
I0000181,O000767,P00076,7,794.89,28.04
I0000182,O000665,P00069,1,1147.7,28.48
I0000183,O000376,P00476,8,1137.94,5.89
I0000184,O000392,P00043,4,883.28,15.44
I0000185,O000445,P00414,2,915.2,4.37
I0000186,O000053,P00144,5,526.67,32.22
I0000187,O000473,P00304,1,899.96,23.75
I0000188,O000637,P00161,8,330.87,12.22
I0000189,O000966,P00164,3,434.66,22.54
I0000190,O000123,P00028,3,492.53,16.92
I0000191,O000719,P00101,8,856.78,2.52
I0000192,O000051,P00047,8,458.66,28.71
I0000193,O000540,P00478,4,405.39,17.48
I0000194,O000354,P00354,7,220.07,1.96
I0000195,O000110,P00192,3,349.95,4.66
I0000196,O000421,P00459,5,756.58,32.94
I0000197,O000653,P00402,3,900.4,0.94
I0000198,O000487,P00024,-1,518.91,14.58
I0000199,O000135,P00315,8,1193.55,5.99
I0000200,O000821,P00323,4,924.13,22.72
I0000201,O000549,P00214,6,893.2,24.46
I0000202,O000939,P00440,2,216.83,24.88
I0000203,O000654,P00014,3,146.01,30.59
I0000204,O000573,P00103,1,54.53,14.52
I0000205,O000489,P00279,2,703.84,34.15
I0000206,O000457,P00094,2,381.22,6.07
I0000207,O000002,P00228,2,1085.81,24.39
I0000208,O000100,P00071,1,1074.22,18.93
I0000209,O000857,P00396,6,879.27,33.68
I0000210,O000019,P00059,6,692.25,28.88
I0000211,O000683,P00261,1,49.42,20.61
I0000212,O000624,P00238,5,214.95,27.31
I0000213,O000648,P00433,3,59.22,15.63
I0000214,O000381,P00324,5,664.24,5.36
I0000215,O000712,P00182,4,892.95,14.18
I0000216,O000900,P00380,8,757.08,16.39
I0000217,O000445,P00413,4,1163.95,9.78
I0000218,O000376,P00467,7,683.03,8.27
I0000219,O000836,P00003,5,521.36,4.32
I0000220,O000305,P00032,5,645.42,19.87
I0000221,O000016,P00449,5,882.05,19.2
I0000222,O000098,P00260,8,547.01,7.91
I0000223,O000180,P00216,5,691.29,29.93
I0000224,O000100,P00020,5,381.65,15.0
I0000225,O000706,P00149,8,714.51,9.17
I0000226,O000362,P00335,7,43.84,20.78
I0000227,O000214,P00492,8,899.13,27.26
I0000228,O000980,P00131,2,993.69,28.2
I0000229,O000704,P00050,3,652.77,20.17
I0000230,O000566,P00463,6,1009.34,15.45
I0000231,O000729,P00178,-3,620.31,31.04
I0000232,O000150,P00095,6,1196.61,30.94
I0000233,O000730,P00245,7,1121.52,28.33
I0000234,O000732,P00016,3,1040.93,23.93
I0000235,O000255,P00260,5,133.45,25.84
I0000236,O000347,P00378,1,932.53,1.03
I0000237,O000352,P00164,5,533.29,15.27
I0000238,O000691,P00348,3,1136.23,12.23
I0000239,O000212,P00375,6,426.11,19.16
I0000240,O000039,P00218,8,828.0,15.77
I0000241,O000383,P00212,6,1079.25,20.91
I0000242,O000853,P00497,2,833.7,33.94
I0000243,O000846,P00177,8,857.54,29.7
I0000244,O000895,P00421,7,875.31,23.69
I0000245,O000163,P00052,4,1056.92,28.98
I0000246,O000288,P00086,8,508.56,22.51
I0000247,O000758,P00349,6,309.37,2.17
I0000248,O000360,P00212,2,829.28,25.36
I0000249,O000929,P00440,4,162.38,17.84
I0000250,O000193,P00124,2,585.37,15.8
I0000251,O000817,P00127,6,622.9,17.12
I0000252,O000983,P00117,2,461.72,17.47
I0000253,O000731,P00360,8,462.44,2.5
I0000254,O000885,P00381,1,116.44,4.8
I0000255,O000895,P00185,6,288.37,7.8
I0000256,O000305,P00366,6,463.88,12.5
I0000257,O000794,P00251,8,1189.08,8.1
I0000258,O000715,P00171,3,938.86,34.06
I0000259,O000504,P00206,4,735.31,29.0
I0000260,O000054,P00125,6,1115.57,23.87
I0000261,O000542,P00404,6,959.51,30.97
I0000262,O000465,P00496,7,535.33,23.62
I0000263,O000240,P00117,6,829.98,27.22
I0000264,O000113,P00316,-2,446.48,6.19
I0000265,O000851,P00417,3,948.7,17.58
I0000266,O000762,P00231,4,495.85,33.93
I0000267,O000797,P00390,5,545.96,11.3
I0000268,O000140,P00180,1,163.45,23.66
I0000269,O000992,P00033,1,126.46,4.2
I0000270,O000621,P00059,7,865.03,20.15
I0000271,O000579,P00021,3,865.81,21.08
I0000272,O000686,P00050,3,936.85,27.57
I0000273,O000262,P00223,7,326.1,17.88
I0000274,O000668,P00138,2,91.32,20.85
I0000275,O000277,P00301,1,410.9,20.66
I0000276,O000224,P00262,3,237.05,18.65
I0000277,O000521,P00329,8,504.68,28.06
I0000278,O000317,P00386,4,170.32,25.02
I0000279,O000051,P00152,2,914.77,12.24
I0000280,O000427,P00316,2,111.03,25.94
I0000281,O000238,P00414,7,62.86,0.52
I0000282,O000106,P00265,8,276.31,19.83
I0000283,O000627,P00283,6,367.12,5.45
I0000284,O000806,P00269,6,775.44,24.78
I0000285,O000224,P00007,7,788.75,6.9
I0000286,O000413,P00438,4,830.76,4.93
I0000287,O000927,P00457,3,30.98,0.31
I0000288,O000105,P00293,7,1170.59,32.83
I0000289,O000013,P00500,8,684.56,16.6
I0000290,O000870,P00270,2,1117.57,9.92
I0000291,O000263,P00004,8,938.79,12.42
I0000292,O000496,P00237,8,574.05,34.54
I0000293,O000406,P00117,4,196.33,27.51
I0000294,O000404,P00499,4,886.5,34.42
I0000295,O000362,P00188,4,200.09,2.7
I0000296,O000537,P00184,3,217.55,26.85
I0000297,O000737,P00385,-2,668.77,7.81
I0000298,O000757,P00147,7,436.8,20.38
I0000299,O000454,P00492,2,316.48,33.23
I0000300,O000125,P00491,2,308.76,9.18
I0000301,O000206,P00233,8,610.63,0.52
I0000302,O000764,P00214,8,259.65,15.38
I0000303,O000043,P00449,7,389.34,8.43
I0000304,O000578,P00177,5,885.71,28.33
I0000305,O000998,P00165,5,875.78,0.22
I0000306,O000919,P00076,7,1144.35,8.02
I0000307,O000030,P00142,3,868.7,14.43
I0000308,O000409,P00291,1,911.75,28.43
I0000309,O000856,P00129,8,292.51,4.52
I0000310,O000918,P00235,4,224.97,10.19
I0000311,O000087,P00310,2,260.63,12.67
I0000312,O000821,P00338,8,507.62,19.49
I0000313,O000717,P00435,7,987.27,23.56
I0000314,O000769,P00148,5,309.67,26.95
I0000315,O000107,P00245,7,812.3,28.79
I0000316,O000121,P00224,2,575.09,0.85
I0000317,O000992,P00263,6,320.25,3.57
I0000318,O000812,P00135,2,349.21,2.09
I0000319,O000633,P00162,2,202.29,18.73
I0000320,O000563,P00435,6,1197.58,27.36
I0000321,O000223,P00053,8,1151.57,33.35
I0000322,O000693,P00070,7,134.58,22.94
I0000323,O000731,P00492,8,678.34,27.53
I0000324,O000230,P00073,6,106.49,14.03
I0000325,O000718,P00004,1,1021.96,22.7
I0000326,O000790,P00380,6,522.08,10.07
I0000327,O000874,P00149,8,373.82,0.94
I0000328,O000923,P00122,6,748.78,5.08
I0000329,O000411,P00453,1,293.25,27.17
I0000330,O000834,P00265,-2,729.43,19.93
I0000331,O000210,P00110,7,270.11,19.73
I0000332,O000242,P00373,6,865.51,22.42
I0000333,O000825,P00234,8,896.46,12.38
I0000334,O000724,P00145,4,1048.97,12.52
I0000335,O000637,P00271,2,98.96,8.58
I0000336,O000053,P00444,4,1159.18,19.78
I0000337,O000232,P00068,5,1032.37,31.69
I0000338,O000041,P00310,7,1025.77,23.72
I0000339,O000900,P00305,4,888.67,16.32
I0000340,O000863,P00464,7,138.26,12.92
I0000341,O000287,P00209,3,141.46,7.14
I0000342,O000946,P00463,8,959.61,10.29
I0000343,O000712,P00152,4,975.78,11.77
I0000344,O000540,P00417,4,945.95,25.06
I0000345,O000670,P00065,6,908.28,15.57
I0000346,O000877,P00447,5,301.3,30.29
I0000347,O000388,P00044,6,719.06,28.4
I0000348,O000654,P00214,4,189.78,27.28
I0000349,O000202,P00308,7,455.37,18.5
I0000350,O000161,P00205,2,639.81,6.05
I0000351,O000223,P00342,2,993.95,17.66
I0000352,O000811,P00037,4,1042.42,32.59
I0000353,O000542,P00281,1,396.42,26.72
I0000354,O000714,P00411,4,296.12,21.21
I0000355,O000593,P00356,2,401.92,26.18
I0000356,O000692,P00232,5,489.96,32.68
I0000357,O000873,P00495,7,890.42,11.02
I0000358,O000935,P00227,1,122.2,5.46
I0000359,O000801,P00454,3,594.9,9.03
I0000360,O000133,P00307,2,62.19,8.73
I0000361,O000853,P00060,6,136.14,28.74
I0000362,O000383,P00424,5,796.12,26.33
I0000363,O000945,P00009,-1,307.79,8.45
I0000364,O000937,P00245,6,118.19,22.73
I0000365,O000931,P00150,7,68.51,23.34
I0000366,O000880,P00382,4,144.29,12.72
I0000367,O000481,P00153,2,838.01,16.45
I0000368,O000722,P00306,7,172.19,9.24
I0000369,O000513,P00202,1,861.63,29.84
I0000370,O000282,P00306,4,1157.1,23.43
I0000371,O000673,P00266,8,93.29,27.1
I0000372,O000622,P00002,4,791.63,20.77
I0000373,O000207,P00063,4,888.1,10.73
I0000374,O000909,P00068,2,516.11,14.16
I0000375,O000991,P00124,7,134.91,22.98
I0000376,O000026,P00400,8,150.32,21.64
I0000377,O000882,P00341,6,795.13,16.28
I0000378,O000658,P00294,4,88.66,24.75
I0000379,O000459,P00052,3,887.64,24.6
I0000380,O000787,P00261,4,371.43,19.5
I0000381,O000203,P00406,8,858.2,13.57
I0000382,O000310,P00405,1,468.62,10.93
I0000383,O000248,P00364,2,20.71,8.59
I0000384,O000157,P00320,5,62.38,26.39
I0000385,O000399,P00280,4,134.8,32.84
I0000386,O000210,P00495,7,141.46,28.63
I0000387,O000931,P00279,1,770.9,29.44
I0000388,O000004,P00405,4,237.49,27.92
I0000389,O000228,P00405,7,124.74,19.72
I0000390,O000012,P00141,1,755.25,24.58
I0000391,O000434,P00314,8,265.12,0.99
I0000392,O000639,P00242,5,410.87,27.94
I0000393,O000233,P00060,4,694.03,20.44
I0000394,O000456,P00113,1,1098.57,27.44
I0000395,O000949,P00030,1,507.71,12.14
I0000396,O000085,P00033,-3,449.84,34.51
I0000397,O000416,P00316,7,578.05,2.42
I0000398,O000037,P00023,3,394.06,24.11
I0000399,O000687,P00379,6,747.21,25.26
I0000400,O000631,P00419,7,981.26,28.63
I0000401,O000279,P00429,8,482.95,15.09
I0000402,O000713,P00134,2,650.1,1.39
I0000403,O000234,P00030,4,608.12,32.5
I0000404,O000011,P00059,8,1057.39,21.28
I0000405,O000487,P00063,4,1094.54,4.12
I0000406,O000961,P00458,2,1046.6,29.72
I0000407,O000806,P00071,2,728.34,17.27
I0000408,O000999,P00418,5,495.33,14.84
I0000409,O000931,P00046,4,374.78,34.86
I0000410,O000429,P00252,8,199.44,12.85
I0000411,O000929,P00322,4,151.69,5.55
I0000412,O000616,P00162,1,1021.09,19.33
I0000413,O000741,P00214,1,820.38,15.51
I0000414,O000656,P00133,3,1092.64,20.15
I0000415,O000660,P00321,5,221.06,8.59
I0000416,O000606,P00382,8,908.13,30.25
I0000417,O000286,P00011,4,670.12,21.36
I0000418,O000758,P00090,1,1197.53,29.96
I0000419,O000309,P00403,2,722.02,16.1
I0000420,O000471,P00457,7,1138.12,31.86
I0000421,O000486,P00243,4,215.79,5.62
I0000422,O000067,P00350,8,1106.35,5.18
I0000423,O000827,P00056,5,625.02,29.81
I0000424,O000555,P00144,4,939.8,34.11
I0000425,O000779,P00330,5,1115.34,11.67
I0000426,O000379,P00194,4,350.8,16.84
I0000427,O000726,P00043,3,596.73,27.6
I0000428,O000833,P00290,2,612.59,12.05
I0000429,O000810,P00204,-3,256.08,20.61
I0000430,O000039,P00047,7,788.64,11.48
I0000431,O000190,P00296,3,779.32,12.57
I0000432,O000781,P00286,6,238.89,24.64
I0000433,O000545,P00225,4,280.67,26.93
I0000434,O000378,P00444,2,454.02,9.09
I0000435,O000701,P00347,4,1163.91,31.58
I0000436,O000770,P00441,5,367.18,27.55
I0000437,O000943,P00247,8,303.58,6.04
I0000438,O000691,P00276,5,337.35,1.6
I0000439,O000072,P00250,2,1066.24,2.23
I0000440,O000695,P00109,5,1064.91,14.95
I0000441,O000733,P00346,7,1031.84,25.98
I0000442,O000788,P00456,4,842.86,11.19
I0000443,O000890,P00405,6,819.34,9.5
I0000444,O000893,P00335,3,42.53,17.65
I0000445,O000806,P00202,4,1112.42,19.33
I0000446,O000137,P00211,3,1049.9,17.53
I0000447,O000021,P00313,3,1153.28,17.5
I0000448,O000363,P00436,4,493.17,12.3
I0000449,O000474,P00375,7,995.75,20.74
I0000450,O000140,P00208,6,1175.87,9.54
I0000451,O000497,P00165,8,537.66,7.3
I0000452,O000369,P00429,2,903.16,25.56
I0000453,O000940,P00317,3,69.73,19.68
I0000454,O000572,P00390,7,520.33,5.99
I0000455,O000037,P00400,3,138.81,32.75
I0000456,O000532,P00069,5,1091.91,22.35
I0000457,O000311,P00476,5,188.1,11.94
I0000458,O000872,P00461,3,683.89,21.62
I0000459,O000041,P00049,3,47.39,34.53
I0000460,O000972,P00426,3,126.78,0.65
I0000461,O000753,P00218,6,112.03,9.91
I0000462,O000140,P00497,-1,512.24,11.09
I0000463,O000181,P00014,2,1107.25,20.54
I0000464,O000775,P00424,5,1090.82,34.57
I0000465,O000013,P00387,4,424.7,28.02
I0000466,O000053,P00134,7,168.14,25.25
I0000467,O000863,P00135,4,307.57,7.1
I0000468,O000495,P00017,6,224.32,12.29
I0000469,O000496,P00461,3,973.5,24.69
I0000470,O000203,P00151,3,787.91,25.48
I0000471,O000641,P00039,3,494.89,7.06
I0000472,O000268,P00027,2,202.15,24.63
I0000473,O000628,P00437,2,944.34,11.58
I0000474,O000718,P00411,6,789.89,23.14
I0000475,O000846,P00216,5,1061.67,28.96
I0000476,O000093,P00179,6,982.93,0.78
I0000477,O000915,P00023,4,576.38,0.06
I0000478,O000529,P00144,4,334.87,17.46
I0000479,O000716,P00114,6,690.0,26.04
I0000480,O000532,P00185,8,124.89,21.64
I0000481,O000710,P00045,1,483.14,28.69
I0000482,O000308,P00001,6,1042.95,33.12
I0000483,O000704,P00482,8,545.19,10.21
I0000484,O000710,P00450,6,144.74,15.09
I0000485,O000593,P00138,6,713.76,1.3
I0000486,O000306,P00008,5,147.14,25.49
I0000487,O000883,P00383,8,770.28,34.2
I0000488,O000291,P00125,3,377.77,2.24
I0000489,O000651,P00268,7,1145.72,8.36
I0000490,O000085,P00026,3,353.08,29.15
I0000491,O000031,P00035,2,418.41,29.61
I0000492,O000510,P00200,8,625.5,0.98
I0000493,O000807,P00385,8,623.76,14.31
I0000494,O000963,P00273,6,714.44,30.17
I0000495,O000287,P00085,-1,823.83,32.83
I0000496,O000456,P00021,3,658.82,25.21
I0000497,O000317,P00141,3,264.55,30.26
I0000498,O000895,P00144,3,1102.32,12.79
I0000499,O000305,P00381,5,810.6,1.62
I0000500,O000005,P00233,3,492.47,7.35
I0000501,O000373,P00079,5,906.77,27.03
I0000502,O000256,P00464,2,405.35,25.07
I0000503,O000772,P00042,1,634.61,31.45
I0000504,O000472,P00425,1,217.38,30.71
I0000505,O000059,P00491,4,878.49,9.87
I0000506,O000291,P00416,3,115.52,3.44
I0000507,O000537,P00232,2,852.92,30.73
I0000508,O000849,P00015,7,418.5,31.55
I0000509,O000123,P00037,8,487.49,0.24
I0000510,O000818,P00214,5,70.79,18.74
I0000511,O000418,P00012,3,144.02,9.28
I0000512,O000936,P00254,8,1067.77,25.25
I0000513,O000164,P00259,8,757.79,27.2
I0000514,O000312,P00012,4,851.72,12.48
I0000515,O000046,P00097,8,533.49,32.14
I0000516,O000725,P00238,6,398.52,1.84
I0000517,O000976,P00122,3,488.84,18.96
I0000518,O000728,P00332,5,955.19,25.23
I0000519,O000255,P00262,5,558.83,10.75
I0000520,O000064,P00114,6,23.62,26.88
I0000521,O000432,P00277,7,504.13,22.99
I0000522,O000530,P00326,8,210.06,17.39
I0000523,O000051,P00401,1,1126.49,13.16
I0000524,O000619,P00263,6,808.8,15.75
I0000525,O000566,P00217,6,1144.36,28.74
I0000526,O000604,P00217,6,964.17,5.49
I0000527,O000403,P00017,5,956.63,8.34
I0000528,O000944,P00037,-1,550.14,16.83
I0000529,O000950,P00134,7,161.74,20.18
I0000530,O000021,P00360,3,1148.01,19.82
I0000531,O000911,P00211,4,775.65,1.56
I0000532,O000235,P00060,6,545.01,26.62
I0000533,O000920,P00371,8,606.42,25.95
I0000534,O000472,P00378,4,36.25,14.74
I0000535,O000297,P00417,6,173.2,12.54
I0000536,O000856,P00249,3,166.45,23.46
I0000537,O000641,P00092,8,126.91,33.09
I0000538,O000192,P00171,2,559.48,9.21
I0000539,O000573,P00453,5,707.2,21.59
I0000540,O000158,P00042,6,648.81,4.94
I0000541,O000914,P00099,6,205.42,11.65
I0000542,O000043,P00448,4,1127.5,6.97
I0000543,O000482,P00050,2,547.78,17.95
I0000544,O000466,P00298,2,867.11,17.83
I0000545,O000792,P00015,6,651.98,33.75
I0000546,O000008,P00023,3,96.33,32.61
I0000547,O000445,P00045,3,773.47,29.16
I0000548,O000003,P00422,4,197.36,23.07
I0000549,O000957,P00445,6,1173.97,28.08
I0000550,O000415,P00240,8,529.61,13.7
I0000551,O000579,P00491,2,918.26,25.26
I0000552,O000089,P00206,8,573.63,4.59
I0000553,O000236,P00030,5,89.91,11.35
I0000554,O000337,P00080,6,373.32,12.8
I0000555,O000074,P00329,5,836.73,24.73
I0000556,O000122,P00403,1,85.26,27.29
I0000557,O000131,P00151,7,759.93,4.18
I0000558,O000837,P00288,3,716.77,27.01
I0000559,O000859,P00338,8,723.78,7.64
I0000560,O000691,P00227,5,185.42,1.75
I0000561,O000037,P00363,-1,1126.59,0.41
I0000562,O000600,P00449,8,1068.52,28.9
I0000563,O000383,P00361,5,886.11,7.39
I0000564,O000884,P00327,3,759.78,22.96
I0000565,O000671,P00005,1,332.72,9.9
I0000566,O000852,P00056,6,226.18,24.46
I0000567,O000427,P00057,3,589.77,27.07
I0000568,O000193,P00143,1,701.62,33.52
I0000569,O000055,P00157,4,912.09,7.96
I0000570,O000534,P00315,3,639.19,17.37
I0000571,O000471,P00031,1,47.67,26.09
I0000572,O000237,P00034,1,307.16,1.44
I0000573,O000043,P00312,5,122.11,11.04
I0000574,O000153,P00136,5,916.5,29.11
I0000575,O000486,P00278,6,600.62,22.23
I0000576,O000748,P00342,6,247.33,10.49
I0000577,O000722,P00341,3,541.1,4.61
I0000578,O000326,P00035,4,509.0,17.53
I0000579,O000606,P00057,4,727.41,6.64
I0000580,O000695,P00242,7,53.31,4.44
I0000581,O000488,P00268,5,197.47,26.71
I0000582,O000235,P00361,5,306.95,29.22
I0000583,O000718,P00419,2,74.56,19.29
I0000584,O000324,P00397,3,995.73,8.51
I0000585,O000451,P00282,6,778.36,24.55
I0000586,O000926,P00460,2,1051.13,4.7
I0000587,O000725,P00439,1,695.06,8.2
I0000588,O000921,P00228,2,445.64,3.54
I0000589,O000561,P00162,8,312.71,27.74
I0000590,O000111,P00019,8,641.64,22.58
I0000591,O000455,P00274,8,581.56,27.24
I0000592,O000825,P00105,5,541.44,7.5
I0000593,O000019,P00442,2,184.18,25.75
I0000594,O000602,P00488,-3,230.47,31.03
I0000595,O000863,P00119,1,416.68,12.08
I0000596,O000331,P00079,8,187.27,31.29
I0000597,O000496,P00197,1,204.34,1.77
I0000598,O000118,P00424,7,169.03,32.49
I0000599,O000218,P00238,7,969.01,3.81
I0000600,O000069,P00473,8,969.12,14.78
I0000601,O000725,P00441,7,1170.15,5.05
