po_id,vendor_id,order_date,item_category,quantity,unit_price,po_amount,region,department
PO00191,V008,2025-04-03,Packaging,227,509.71,115704.17,East,R&D
PO00192,V021,2025-04-13,IT Equipment,232,124.02,28772.64,West,Operations
PO00193,V001,2025-02-17,Raw Materials,171,423.17,72362.07,East,Operations
PO00194,V012,2026-01-19,MRO Parts,225,114.15,25683.75,North,HR
PO00195,V014,2025-07-04,Consulting,92,128.16,11790.72,North,HR
PO00196,V013,2025-09-04,IT Equipment,259,478.59,123954.81,East,IT
PO00197,V008,2026-04-18,Packaging,331,165.64,54826.84,East,Operations
PO00198,V022,2025-01-10,Consulting,465,427.2,198648.0,South,Operations
PO00199,V022,2026-07-14,Consulting,85,80.08,6806.8,South,Operations
PO00200,V019,2025-11-03,IT Equipment,332,501.96,166650.72,East,Facilities
PO00201,V009,2026-04-13,Packaging,437,188.51,82378.87,North,Finance
PO00202,V016,2025-04-20,Consulting,126,226.15,28494.9,East,Operations
PO00203,V019,2025-10-30,IT Equipment,363,185.23,67238.49,East,R&D
PO00204,V022,2026-02-10,Consulting,145,48.85,7083.25,South,R&D
PO00205,V022,2025-02-20,Consulting,471,333.04,156861.84,South,Finance
PO00206,V010,2025-08-24,MRO Parts,315,425.92,134164.8,East,IT
PO00207,V021,2025-07-14,IT Equipment,322,164.05,52824.1,West,R&D
PO00208,V024,2025-05-21,Packaging,326,91.15,29714.9,North,Facilities
PO00209,V021,2025-02-10,IT Equipment,163,419.59,68393.17,West,Manufacturing
PO00210,V019,2026-01-09,IT Equipment,379,107.42,40712.18,East,Operations
PO00211,V011,2026-03-02,Raw Materials,94,140.38,13195.72,South,R&D
PO00212,V018,2026-01-10,Packaging,276,283.35,78204.6,East,Operations
PO00213,V006,2025-09-21,Office Supplies,472,436.73,206136.56,East,Finance
PO00214,V010,2025-12-13,MRO Parts,416,99.71,41479.36,East,Manufacturing
PO00215,V005,2025-08-20,MRO Parts,445,366.25,162981.25,North,Facilities
PO00216,V013,2026-07-25,IT Equipment,192,87.89,16874.88,East,Finance
PO00217,V001,2025-09-28,Raw Materials,279,103.7,28932.3,East,Operations
PO00218,V022,2025-09-26,Consulting,304,225.99,68700.96,South,Facilities
PO00219,V012,2025-04-21,MRO Parts,350,156.07,54624.5,North,Manufacturing
PO00220,V020,2026-07-29,Consulting,172,479.75,82517.0,West,IT
PO00221,V021,2025-03-06,IT Equipment,330,436.33,143988.9,West,Facilities
PO00222,V010,2026-02-23,MRO Parts,64,111.39,7128.96,East,Manufacturing
PO00223,V010,2026-05-20,MRO Parts,64,91.17,5834.88,East,HR
PO00224,V005,2026-02-02,MRO Parts,237,221.23,52431.51,North,Facilities
PO00225,V023,2026-07-08,Logistics,219,323.99,70953.81,West,Facilities
PO00226,V005,2026-03-01,MRO Parts,340,92.04,31293.6,North,Finance
PO00227,V020,2026-02-22,Consulting,485,496.97,241030.45,West,Manufacturing
PO00228,V023,2026-01-15,Logistics,116,255.61,29650.76,West,IT
PO00229,V012,2025-04-12,MRO Parts,356,219.48,78134.88,North,Facilities
PO00230,V012,2025-03-04,MRO Parts,208,176.04,36616.32,North,Manufacturing
PO00231,V015,2025-04-04,IT Equipment,344,145.75,50138.0,West,Facilities
PO00232,V020,2025-01-22,Consulting,30,418.73,12561.9,West,IT
PO00233,V005,2025-07-30,MRO Parts,40,439.16,17566.4,North,HR
PO00234,V007,2025-08-10,Raw Materials,421,458.11,192864.31,North,Operations
PO00235,V025,2025-06-01,MRO Parts,408,472.75,192882.0,East,Manufacturing
PO00236,V009,2025-05-29,Packaging,71,301.6,21413.6,North,R&D
PO00237,V006,2025-04-23,Office Supplies,343,456.56,156600.08,East,IT
PO00238,V001,2026-01-02,Raw Materials,409,419.5,171575.5,East,HR
PO00239,V011,2025-01-17,Raw Materials,94,171.05,16078.7,South,IT
PO00240,V024,2026-03-08,Packaging,274,98.98,27120.52,North,Manufacturing
PO00241,V016,2026-04-05,Consulting,403,216.97,87438.91,East,HR
PO00242,V004,2026-04-08,Consulting,262,150.24,39362.88,West,HR
PO00243,V002,2026-06-18,Consulting,159,262.57,41748.63,North,Manufacturing
PO00244,V002,2026-05-06,Consulting,438,235.77,103267.26,North,Facilities
PO00245,V004,2026-05-18,Consulting,369,477.11,176053.59,West,Manufacturing
PO00246,V003,2025-11-26,Raw Materials,316,115.46,36485.36,South,IT
PO00247,V009,2026-07-16,Packaging,369,199.46,73600.74,North,HR
PO00248,V017,2025-10-29,MRO Parts,237,285.14,67578.18,East,Finance
PO00249,V004,2025-04-28,Consulting,441,355.99,156991.59,West,R&D
PO00250,V018,2025-08-09,Packaging,225,259.49,58385.25,East,IT
PO00251,V014,2025-12-14,Consulting,428,260.41,111455.48,North,Finance
PO00252,V024,2025-04-08,Packaging,165,247.71,40872.15,North,Facilities
PO00253,V009,2026-01-19,Packaging,493,117.5,57927.5,North,Finance
PO00254,V003,2025-04-04,Raw Materials,430,85.55,36786.5,South,Finance
PO00255,V004,2026-01-17,Consulting,420,106.8,44856.0,West,Manufacturing
PO00256,V019,2026-07-30,IT Equipment,292,201.58,58861.36,East,Manufacturing
PO00257,V014,2025-12-29,Consulting,452,361.04,163190.08,North,R&D
PO00258,V014,2025-02-22,Consulting,500,181.62,90810.0,North,Operations
PO00259,V012,2025-04-17,MRO Parts,300,286.02,85806.0,North,IT
PO00260,V022,2026-05-09,Consulting,119,447.46,53247.74,South,Operations
PO00261,V018,2026-01-12,Packaging,63,407.24,25656.12,East,HR
PO00262,V008,2026-03-16,Packaging,437,311.46,136108.02,East,R&D
PO00263,V020,2026-07-25,Consulting,18,334.27,6016.86,West,Facilities
PO00264,V023,2025-10-01,Logistics,19,130.7,2483.3,West,Facilities
PO00265,V025,2025-11-13,MRO Parts,476,206.42,98255.92,East,Manufacturing
PO00266,V006,2025-05-27,Office Supplies,294,357.24,105028.56,East,Manufacturing
PO00267,V005,2025-02-01,MRO Parts,51,399.4,20369.4,North,IT
PO00268,V013,2026-03-06,IT Equipment,237,206.93,49042.41,East,Operations
PO00269,V010,2025-11-29,MRO Parts,402,492.17,197852.34,East,HR
PO00270,V003,2025-02-23,Raw Materials,84,119.77,10060.68,South,HR
PO00271,V002,2025-03-25,Consulting,144,255.48,36789.12,North,Finance
PO00272,V016,2026-03-29,Consulting,217,174.75,37920.75,East,R&D
PO00273,V017,2025-04-27,MRO Parts,181,249.21,45107.01,East,Operations
PO00274,V022,2026-05-14,Consulting,274,361.89,99157.86,South,Manufacturing
PO00275,V008,2026-02-09,Packaging,311,71.02,22087.22,East,IT
PO00276,V010,2025-08-05,MRO Parts,397,110.19,43745.43,East,Operations
PO00277,V010,2025-12-02,MRO Parts,66,48.67,3212.22,East,Facilities
PO00278,V014,2025-06-29,Consulting,71,225.6,16017.6,North,Facilities
PO00279,V008,2026-05-28,Packaging,291,440.84,128284.44,East,R&D
PO00280,V012,2025-03-15,MRO Parts,208,454.34,94502.72,North,Manufacturing
PO00281,V014,2025-01-20,Consulting,240,482.55,115812.0,North,R&D
PO00282,V011,2026-03-16,Raw Materials,298,237.1,70655.8,South,Facilities
PO00283,V014,2025-10-24,Consulting,63,237.39,14955.57,North,Operations
PO00284,V006,2026-04-17,Office Supplies,430,372.56,160200.8,East,Operations
PO00285,V003,2026-03-24,Raw Materials,437,95.28,41637.36,South,Finance
PO00286,V019,2026-02-15,IT Equipment,273,82.36,22484.28,East,R&D
PO00287,V010,2025-12-14,MRO Parts,118,203.21,23978.78,East,IT
PO00288,V003,2026-06-07,Raw Materials,329,99.16,32623.64,South,HR
PO00289,V007,2025-12-24,Raw Materials,184,390.51,71853.84,North,R&D
PO00290,V021,2025-06-01,IT Equipment,125,93.83,11728.75,West,Operations
PO00291,V007,2025-06-27,Raw Materials,313,117.61,36811.93,North,R&D
PO00292,V021,2025-03-19,IT Equipment,95,496.86,47201.7,West,Facilities
PO00293,V016,2026-04-21,Consulting,391,312.77,122293.07,East,HR
PO00294,V015,2025-11-27,IT Equipment,447,506.21,226275.87,West,Operations
PO00295,V005,2026-03-27,MRO Parts,39,267.74,10441.86,North,Facilities
PO00296,V010,2025-10-09,MRO Parts,307,71.68,22005.76,East,HR
PO00297,V003,2025-11-14,Raw Materials,241,259.66,62578.06,South,Manufacturing
PO00298,V012,2025-10-21,MRO Parts,44,351.22,15453.68,North,R&D
PO00299,V003,2026-06-04,Raw Materials,201,264.79,53222.79,South,HR
PO00300,V024,2025-02-12,Packaging,235,476.8,112048.0,North,HR
PO00301,V021,2025-07-12,IT Equipment,169,332.38,56172.22,West,HR
PO00302,V005,2025-03-05,MRO Parts,235,94.16,22127.6,North,R&D
PO00303,V011,2025-03-28,Raw Materials,263,351.91,92552.33,South,Manufacturing
PO00304,V008,2026-03-25,Packaging,229,293.93,67309.97,East,HR
PO00305,V006,2026-01-08,Office Supplies,195,481.02,93798.9,East,Finance
PO00306,V014,2025-12-13,Consulting,352,329.0,115808.0,North,R&D
PO00307,V021,2025-12-09,IT Equipment,38,201.6,7660.8,West,HR
PO00308,V022,2026-01-31,Consulting,150,164.7,24705.0,South,R&D
PO00309,V022,2025-06-03,Consulting,175,83.71,14649.25,South,Facilities
PO00310,V005,2025-12-25,MRO Parts,163,504.66,82259.58,North,Facilities
PO00311,V022,2026-02-06,Consulting,71,327.64,23262.44,South,Manufacturing
PO00312,V010,2026-07-27,MRO Parts,197,350.66,69080.02,East,Operations
PO00313,V005,2026-06-24,MRO Parts,52,351.86,18296.72,North,Finance
PO00314,V017,2026-01-06,MRO Parts,14,217.23,3041.22,East,IT
PO00315,V007,2025-12-16,Raw Materials,490,408.92,200370.8,North,IT
PO00316,V008,2025-05-21,Packaging,84,81.65,6858.6,East,R&D
PO00317,V004,2026-06-04,Consulting,399,301.39,120254.61,West,Facilities
PO00318,V017,2025-02-08,MRO Parts,343,204.96,70301.28,East,R&D
PO00319,V020,2025-05-15,Consulting,310,223.94,69421.4,West,IT
PO00320,V006,2025-06-19,Office Supplies,374,252.89,94580.86,East,Finance
PO00321,V012,2025-09-01,MRO Parts,232,335.03,77726.96,North,R&D
PO00322,V024,2026-04-05,Packaging,124,298.66,37033.84,North,Operations
PO00323,V016,2025-07-18,Consulting,193,367.2,70869.6,East,HR
PO00324,V015,2026-04-18,IT Equipment,398,178.84,71178.32,West,Finance
PO00325,V017,2026-06-25,MRO Parts,219,503.98,110371.62,East,R&D
PO00326,V007,2025-05-22,Raw Materials,451,163.75,73851.25,North,Facilities
PO00327,V016,2026-01-16,Consulting,288,488.79,140771.52,East,Facilities
PO00328,V017,2025-05-08,MRO Parts,150,84.84,12726.0,East,IT
PO00329,V009,2026-04-06,Packaging,468,288.84,135177.12,North,R&D
PO00330,V014,2025-04-04,Consulting,489,477.49,233492.61,North,R&D
PO00331,V015,2025-12-24,IT Equipment,481,57.67,27739.27,West,Manufacturing
PO00332,V013,2026-05-30,IT Equipment,196,156.99,30770.04,East,Manufacturing
PO00333,V012,2025-08-18,MRO Parts,19,196.38,3731.22,North,Manufacturing
PO00334,V023,2025-12-10,Logistics,410,114.37,46891.7,West,Manufacturing
PO00335,V010,2026-04-29,MRO Parts,361,439.78,158760.58,East,R&D
PO00336,V023,2026-04-26,Logistics,234,337.29,78925.86,West,Manufacturing
PO00337,V001,2025-09-20,Raw Materials,115,441.61,50785.15,East,HR
PO00338,V024,2026-06-25,Packaging,221,97.81,21616.01,North,Operations
PO00339,V008,2025-11-05,Packaging,67,67.68,4534.56,East,Finance
PO00340,V021,2026-04-14,IT Equipment,37,97.66,3613.42,West,Finance
PO00341,V020,2026-07-03,Consulting,13,345.18,4487.34,West,HR
PO00342,V008,2025-05-28,Packaging,154,248.89,38329.06,East,HR
PO00343,V012,2025-09-04,MRO Parts,297,242.87,72132.39,North,Facilities
PO00344,V022,2025-03-29,Consulting,273,507.96,138673.08,South,Manufacturing
PO00345,V017,2026-07-12,MRO Parts,264,418.55,110497.2,East,HR
PO00346,V018,2025-01-21,Packaging,204,459.83,93805.32,East,Manufacturing
PO00347,V021,2026-02-01,IT Equipment,196,165.48,32434.08,West,Manufacturing
PO00348,V012,2025-03-11,MRO Parts,181,159.53,28874.93,North,Facilities
PO00349,V021,2025-04-17,IT Equipment,400,321.4,128560.0,West,R&D
PO00350,V011,2025-05-17,Raw Materials,27,212.34,5733.18,South,Operations
PO00351,V021,2025-06-29,IT Equipment,430,415.09,178488.7,West,Finance
PO00352,V023,2026-05-06,Logistics,328,131.58,43158.24,West,IT
PO00353,V003,2026-04-14,Raw Materials,23,184.39,4240.97,South,Manufacturing
PO00354,V007,2025-02-12,Raw Materials,166,488.35,81066.1,North,HR
PO00355,V013,2026-07-11,IT Equipment,247,165.32,40834.04,East,R&D
PO00356,V021,2025-07-15,IT Equipment,151,214.56,32398.56,West,R&D
PO00357,V002,2025-12-06,Consulting,144,104.13,14994.72,North,Operations
PO00358,V014,2026-02-14,Consulting,385,253.87,97739.95,North,Finance
PO00359,V011,2025-07-11,Raw Materials,259,373.73,96796.07,South,Operations
PO00360,V017,2025-10-01,MRO Parts,415,84.24,34959.6,East,Finance
PO00361,V003,2026-03-17,Raw Materials,313,517.67,162030.71,South,IT
PO00362,V018,2025-10-28,Packaging,169,93.73,15840.37,East,Operations
PO00363,V022,2025-10-30,Consulting,161,256.81,41346.41,South,Facilities
