invoice_id,po_id,vendor_id,invoice_date,invoice_amount,due_date,payment_date,payment_status
INV00025,PO00027,V012,2025-10-21,21516.9,2025-12-05,2025-12-03,Paid
INV00026,PO00028,V023,2025-11-08,162920.94,2026-01-07,2026-01-04,Paid
INV00027,PO00029,V021,2026-06-28,3260.16,2026-07-13,2026-07-15,Paid
INV00028,PO00030,V010,2025-04-27,224123.35,2025-05-27,2025-05-23,Paid
INV00029,PO00031,V004,2025-05-01,118495.3,2025-06-30,,Overdue
INV00030,PO00032,V010,2025-08-20,77327.64,2025-09-19,2025-09-22,Paid
INV00031,PO00033,V021,2025-10-05,72864.15,2025-10-20,2025-10-22,Paid
INV00032,PO00034,V002,2025-04-11,79726.32,2025-06-10,2025-06-08,Paid
INV00033,PO00035,V002,2025-01-17,71974.0,2025-03-18,2025-03-14,Paid
INV00034,PO00036,V009,2025-06-19,91523.5,2025-07-04,2025-07-02,Paid
INV00035,PO00038,V005,2026-07-28,10152.89,2026-08-27,,Pending
INV00036,PO00039,V018,2025-06-20,25252.52,2025-08-19,2025-08-14,Paid
INV00037,PO00040,V012,2025-02-25,99956.4,2025-04-11,2025-04-14,Paid
INV00038,PO00041,V008,2025-04-26,77294.16,2025-05-11,2025-05-10,Paid
INV00039,PO00042,V014,2025-06-16,217142.33,2025-07-16,2025-07-16,Paid
INV00040,PO00043,V006,2025-07-19,109823.04,2025-08-18,2025-09-16,Paid
INV00041,PO00044,V024,2025-12-14,197291.7,2025-12-29,2025-12-25,Paid
INV00042,PO00045,V022,2025-09-29,17007.42,2025-11-28,2025-11-24,Paid
INV00043,PO00047,V008,2025-08-10,210528.06,2025-08-25,2025-08-28,Paid
INV00044,PO00048,V010,2025-08-29,6692.56,2025-09-28,2025-10-01,Paid
INV00045,PO00049,V013,2025-12-05,66968.79,2026-01-04,2026-01-06,Paid
INV00046,PO00050,V009,2026-01-13,95561.01,2026-01-28,2026-02-24,Paid
INV00047,PO00052,V006,2025-09-30,2315.76,2025-10-30,2025-10-25,Paid
INV00048,PO00053,V012,2025-11-21,75912.6,2026-01-05,2026-01-01,Paid
INV00049,PO00054,V004,2026-02-15,148607.9,2026-04-16,2026-05-14,Paid
INV00050,PO00055,V002,2026-04-06,1459.8,2026-06-05,2026-06-23,Paid
INV00051,PO00056,V018,2025-08-03,47725.17,2025-10-02,2025-10-05,Paid
INV00052,PO00057,V011,2025-11-30,176878.15,2026-01-14,2026-01-11,Paid
INV00053,PO00058,V010,2026-06-12,58968.51,2026-07-12,2026-07-25,Paid
INV00054,PO00059,V013,2025-11-17,30372.48,2025-12-17,2025-12-15,Paid
INV00055,PO00060,V022,2026-02-05,133095.34,2026-04-06,2026-05-04,Paid
INV00056,PO00061,V020,2025-11-19,64717.24,2026-01-18,,Overdue
INV00057,PO00062,V010,2025-10-29,25823.38,2025-11-28,2025-11-23,Paid
INV00058,PO00063,V020,2025-11-28,61928.55,2026-01-27,2026-01-25,Paid
INV00059,PO00064,V007,2026-06-10,119704.96,2026-06-25,2026-06-25,Paid
INV00060,PO00065,V024,2025-07-04,32638.37,2025-07-19,,Overdue
INV00061,PO00066,V022,2025-12-24,22555.0,2026-02-22,2026-02-19,Paid
INV00062,PO00067,V008,2025-11-28,51374.4,2025-12-13,2025-12-13,Paid
INV00063,PO00068,V001,2025-03-02,66608.1,2025-04-01,2025-04-02,Paid
INV00064,PO00069,V025,2025-03-26,57562.68,2025-05-10,2025-05-29,Paid
INV00065,PO00070,V019,2025-07-27,139786.44,2025-08-26,2025-08-28,Paid
INV00066,PO00071,V013,2025-09-25,28530.4,2025-10-25,2025-10-28,Paid
INV00067,PO00072,V025,2025-04-28,99516.82,2025-06-12,2025-06-08,Paid
INV00068,PO00073,V023,2026-06-27,18013.73,2026-08-26,,Pending
INV00069,PO00074,V004,2026-05-03,31073.91,2026-07-02,2026-07-12,Paid
INV00070,PO00076,V015,2026-06-19,93330.12,2026-08-03,,Pending
INV00071,PO00077,V015,2025-06-13,165691.17,2025-07-28,2025-07-30,Paid
INV00072,PO00078,V009,2025-10-01,151332.15,2025-10-16,2025-10-14,Paid
INV00073,PO00079,V025,2026-06-28,86705.63,2026-08-12,,Pending
INV00074,PO00080,V015,2025-03-30,66866.4,2025-05-14,2025-06-01,Paid
INV00075,PO00081,V011,2025-12-10,139325.34,2026-01-24,2026-01-22,Paid
INV00076,PO00082,V005,2025-09-08,84037.1,2025-10-08,2025-10-03,Paid
INV00077,PO00083,V007,2025-03-26,51778.37,2025-04-10,2025-04-07,Paid
INV00078,PO00084,V015,2026-03-10,5157.0,2026-04-24,2026-05-13,Paid
INV00079,PO00085,V013,2025-02-01,205246.33,2025-03-03,2025-03-30,Paid
INV00080,PO00086,V013,2026-05-20,3942.4,2026-06-19,2026-06-19,Paid
INV00081,PO00087,V025,2026-02-22,206621.73,2026-04-08,2026-04-29,Paid
INV00082,PO00088,V014,2026-07-08,152458.65,2026-08-07,,Pending
INV00083,PO00090,V016,2025-02-01,41750.64,2025-02-16,2025-02-14,Paid
INV00084,PO00092,V020,2026-07-08,8564.22,2026-09-06,,Pending
INV00085,PO00093,V019,2025-02-17,16464.57,2025-03-19,2025-03-14,Paid
INV00086,PO00095,V007,2026-04-12,38157.74,2026-04-27,2026-04-26,Paid
INV00087,PO00097,V001,2026-07-21,16118.76,2026-08-20,,Pending
INV00088,PO00098,V008,2025-03-16,201882.84,2025-03-31,2025-04-03,Paid
INV00089,PO00099,V025,2025-02-13,79767.86,2025-03-30,2025-03-30,Paid
INV00090,PO00100,V001,2025-06-21,13328.65,2025-07-21,,Overdue
INV00091,PO00101,V004,2025-08-15,91671.75,2025-10-14,2025-11-11,Paid
INV00092,PO00103,V023,2025-05-11,174970.51,2025-07-10,2025-07-05,Paid
INV00093,PO00104,V004,2025-01-30,92726.4,2025-03-31,2025-03-31,Paid
INV00094,PO00105,V013,2026-02-15,187314.81,2026-03-17,2026-03-28,Paid
INV00095,PO00106,V019,2025-09-25,21441.69,2025-10-25,2025-10-21,Paid
INV00096,PO00107,V022,2025-05-13,211079.96,2025-07-12,2025-07-07,Paid
INV00097,PO00108,V002,2026-01-02,65510.68,2026-03-03,2026-03-04,Paid
INV00098,PO00109,V003,2026-06-13,66803.94,2026-06-28,2026-07-14,Paid
INV00099,PO00110,V014,2026-06-04,14804.28,2026-07-04,2026-07-12,Paid
INV00100,PO00111,V021,2026-04-19,43184.89,2026-05-04,,Overdue
INV00101,PO00113,V018,2026-05-14,61211.7,2026-07-13,2026-08-05,Paid
INV00102,PO00114,V019,2025-10-13,74004.95,2025-11-12,,Overdue
INV00103,PO00115,V003,2025-10-25,118163.28,2025-11-09,2025-11-06,Paid
INV00104,PO00116,V015,2026-02-06,10944.68,2026-03-23,2026-04-18,Paid
INV00105,PO00118,V009,2025-12-28,68546.2,2026-01-12,2026-01-13,Paid
INV00106,PO00119,V009,2026-07-28,3298.19,2026-08-12,,Pending
INV00107,PO00120,V003,2025-09-09,84073.14,2025-09-24,2025-09-27,Paid
INV00108,PO00121,V025,2025-09-08,95949.76,2025-10-23,2025-10-23,Paid
INV00109,PO00122,V016,2026-04-05,21807.9,2026-04-20,2026-04-16,Paid
INV00110,PO00123,V008,2026-03-09,57644.63,2026-03-24,,Overdue
INV00111,PO00124,V019,2026-01-19,76051.3,2026-02-18,2026-02-17,Paid
INV00112,PO00126,V009,2025-11-16,20549.83,2025-12-01,2025-12-03,Paid
INV00113,PO00127,V007,2025-12-02,26259.42,2025-12-17,2025-12-19,Paid
INV00114,PO00128,V023,2025-07-16,15221.34,2025-09-14,2025-09-09,Paid
INV00115,PO00129,V009,2026-07-03,55620.2,2026-07-18,2026-07-18,Paid
INV00116,PO00130,V007,2025-11-14,26186.82,2025-11-29,2025-12-22,Paid
INV00117,PO00131,V001,2026-07-12,12095.7,2026-08-11,,Pending
INV00118,PO00132,V018,2025-11-02,178625.28,2026-01-01,,Overdue
INV00119,PO00133,V025,2026-06-03,26193.78,2026-07-18,2026-08-01,Paid
INV00120,PO00134,V010,2026-05-09,63555.0,2026-06-08,,Overdue
INV00121,PO00135,V002,2025-10-04,241091.98,2025-12-03,2025-12-05,Paid
INV00122,PO00136,V003,2026-02-22,20528.64,2026-03-09,2026-03-05,Paid
INV00123,PO00137,V022,2025-03-10,9501.34,2025-05-09,2025-05-08,Paid
INV00124,PO00138,V010,2025-04-03,13366.32,2025-05-03,2025-05-09,Paid
INV00125,PO00139,V014,2025-09-09,117874.44,2025-10-09,2025-10-12,Paid
INV00126,PO00140,V015,2025-11-15,144424.75,2025-12-30,2026-01-14,Paid
INV00127,PO00141,V010,2025-03-21,158832.85,2025-04-20,2025-04-27,Paid
INV00128,PO00142,V025,2025-08-13,49712.76,2025-09-27,2025-09-28,Paid
INV00129,PO00143,V003,2025-06-21,16200.12,2025-07-06,2025-07-01,Paid
INV00130,PO00144,V006,2025-01-11,55423.86,2025-02-10,2025-02-08,Paid
INV00131,PO00145,V016,2025-11-08,3253.95,2025-11-23,2025-11-26,Paid
INV00132,PO00146,V010,2026-04-11,15231.91,2026-05-11,2026-05-07,Paid
INV00133,PO00147,V021,2025-07-27,22093.44,2025-08-11,2025-08-09,Paid
INV00134,PO00148,V021,2025-06-14,80454.6,2025-06-29,2025-07-01,Paid
INV00135,PO00149,V003,2025-03-13,40428.1,2025-03-28,2025-03-28,Paid
INV00136,PO00150,V024,2025-10-29,23832.03,2025-11-13,2025-11-16,Paid
INV00137,PO00151,V010,2026-02-23,84893.84,2026-03-25,2026-03-27,Paid
INV00138,PO00152,V016,2026-04-07,15137.22,2026-04-22,2026-04-23,Paid
INV00139,PO00153,V024,2025-12-17,51470.88,2026-01-01,2026-01-02,Paid
INV00140,PO00154,V008,2025-01-29,156982.59,2025-02-13,2025-02-19,Paid
INV00141,PO00155,V019,2025-03-01,156716.34,2025-03-31,2025-03-30,Paid
INV00142,PO00156,V017,2026-04-14,83954.88,2026-05-29,2026-05-30,Paid
INV00143,PO00157,V014,2026-06-07,13516.53,2026-07-07,2026-07-04,Paid
INV00144,PO00158,V011,2025-12-05,32948.64,2026-01-19,2026-01-16,Paid
INV00145,PO00159,V011,2026-03-06,100926.0,2026-04-20,2026-04-17,Paid
INV00146,PO00160,V013,2026-08-01,6003.92,2026-08-31,,Pending
INV00147,PO00161,V009,2025-12-14,32373.76,2025-12-29,2025-12-26,Paid
INV00148,PO00162,V017,2025-01-18,156160.95,2025-03-04,2025-03-06,Paid
INV00149,PO00163,V014,2025-03-09,29417.26,2025-04-08,2025-04-06,Paid
INV00150,PO00164,V025,2026-06-13,82865.25,2026-07-28,2026-07-30,Paid
INV00151,PO00165,V007,2025-10-16,30667.78,2025-10-31,2025-10-26,Paid
INV00152,PO00166,V015,2026-05-20,3933.57,2026-07-04,2026-07-07,Paid
INV00153,PO00167,V020,2025-09-18,44244.64,2025-11-17,2025-12-06,Paid
INV00154,PO00168,V001,2026-07-24,19014.51,2026-08-23,,Pending
INV00155,PO00169,V004,2026-04-30,49291.2,2026-06-29,2026-07-27,Paid
INV00156,PO00170,V005,2026-06-13,186926.15,2026-07-13,2026-07-11,Paid
INV00157,PO00171,V023,2025-10-09,95803.33,2025-12-08,2025-12-04,Paid
INV00158,PO00172,V008,2026-04-17,32631.9,2026-05-02,2026-05-02,Paid
INV00159,PO00173,V020,2026-06-25,179057.16,2026-08-24,,Pending
INV00160,PO00174,V003,2025-10-17,168100.0,2025-11-01,2025-11-23,Paid
INV00161,PO00175,V011,2026-06-13,61301.16,2026-07-28,2026-07-27,Paid
INV00162,PO00176,V024,2025-11-11,140205.4,2025-11-26,2025-11-22,Paid
INV00163,PO00177,V016,2025-06-16,70093.39,2025-07-01,,Overdue
INV00164,PO00178,V011,2026-07-25,119736.35,2026-09-08,,Pending
INV00165,PO00179,V011,2025-07-24,57351.66,2025-09-07,2025-10-02,Paid
INV00166,PO00180,V008,2026-03-02,5295.51,2026-03-17,2026-03-18,Paid
INV00167,PO00181,V023,2026-01-29,103929.0,2026-03-30,2026-04-05,Paid
INV00168,PO00182,V021,2025-06-14,129848.82,2025-06-29,2025-07-17,Paid
INV00169,PO00183,V017,2025-12-17,41701.5,2026-01-31,2026-02-27,Paid
INV00170,PO00184,V015,2025-04-28,130824.04,2025-06-12,2025-06-08,Paid
INV00171,PO00185,V024,2025-06-10,98887.1,2025-06-25,2025-06-24,Paid
INV00172,PO00186,V003,2026-05-06,204674.85,2026-05-21,2026-05-23,Paid
INV00173,PO00187,V020,2026-02-14,29606.03,2026-04-15,2026-04-19,Paid
INV00174,PO00188,V022,2026-07-07,99145.78,2026-09-05,,Pending
INV00175,PO00189,V023,2026-05-22,136192.98,2026-07-21,2026-08-14,Paid
INV00176,PO00190,V003,2025-09-07,120188.84,2025-09-22,2025-09-19,Paid
INV00177,PO00192,V021,2025-04-21,28772.64,2025-05-06,2025-05-02,Paid
INV00178,PO00194,V012,2026-01-24,25683.75,2026-03-10,2026-03-12,Paid
INV00179,PO00196,V013,2025-09-08,123954.81,2025-10-08,2025-10-05,Paid
INV00180,PO00197,V008,2026-04-26,54826.84,2026-05-11,2026-05-07,Paid
INV00181,PO00198,V022,2025-01-22,198648.0,2025-03-23,2025-03-20,Paid
INV00182,PO00199,V022,2026-07-19,7084.67,2026-09-17,,Pending
INV00183,PO00200,V019,2025-11-15,166650.72,2025-12-15,2025-12-12,Paid
INV00184,PO00201,V009,2026-05-03,82378.87,2026-05-18,2026-05-24,Paid
INV00185,PO00202,V016,2025-04-25,28494.9,2025-05-10,2025-05-11,Paid
INV00186,PO00203,V019,2025-11-13,67238.49,2025-12-13,2025-12-12,Paid
INV00187,PO00204,V022,2026-02-18,7083.25,2026-04-19,2026-04-18,Paid
INV00188,PO00205,V022,2025-02-21,156861.84,2025-04-22,2025-04-21,Paid
INV00189,PO00206,V010,2025-09-13,134164.8,2025-10-13,2025-10-12,Paid
INV00190,PO00207,V021,2025-07-22,52824.1,2025-08-06,2025-08-08,Paid
INV00191,PO00208,V024,2025-05-24,29714.9,2025-06-08,,Overdue
INV00192,PO00209,V021,2025-02-21,76272.3,2025-03-08,2025-03-08,Paid
INV00193,PO00210,V019,2026-01-15,40712.18,2026-02-14,,Overdue
INV00194,PO00211,V011,2026-03-03,13195.72,2026-04-17,2026-04-15,Paid
INV00195,PO00214,V010,2025-12-30,41479.36,2026-01-29,2026-01-30,Paid
INV00196,PO00215,V005,2025-09-02,168545.63,2025-10-02,2025-10-01,Paid
INV00197,PO00216,V013,2026-07-28,16874.88,2026-08-27,,Pending
INV00198,PO00217,V001,2025-10-16,28932.3,2025-11-15,2025-11-11,Paid
INV00199,PO00218,V022,2025-10-10,68700.96,2025-12-09,2025-12-14,Paid
INV00200,PO00219,V012,2025-05-05,57523.65,2025-06-19,2025-06-16,Paid
INV00201,PO00221,V021,2025-03-12,143988.9,2025-03-27,2025-03-30,Paid
INV00202,PO00222,V010,2026-03-04,6642.28,2026-04-03,2026-04-15,Paid
INV00203,PO00223,V010,2026-05-24,5834.88,2026-06-23,2026-06-24,Paid
INV00204,PO00224,V005,2026-02-05,52431.51,2026-03-07,,Overdue
INV00205,PO00225,V023,2026-07-24,70953.81,2026-09-22,,Pending
INV00206,PO00226,V005,2026-03-20,29394.94,2026-04-19,2026-05-11,Paid
INV00207,PO00227,V020,2026-02-26,247587.98,2026-04-27,2026-04-22,Paid
INV00208,PO00228,V023,2026-01-31,29650.76,2026-04-01,,Overdue
INV00209,PO00229,V012,2025-04-14,78134.88,2025-05-29,2025-06-25,Paid
INV00210,PO00230,V012,2025-03-12,36616.32,2025-04-26,2025-04-26,Paid
INV00211,PO00231,V015,2025-04-07,50138.0,2025-05-22,2025-05-17,Paid
INV00212,PO00232,V020,2025-02-08,12561.9,2025-04-09,,Overdue
INV00213,PO00234,V007,2025-08-20,192864.31,2025-09-04,2025-08-31,Paid
INV00214,PO00235,V025,2025-06-02,192882.0,2025-07-17,2025-07-16,Paid
INV00215,PO00236,V009,2025-06-06,21413.6,2025-06-21,2025-06-23,Paid
INV00216,PO00237,V006,2025-04-30,156600.08,2025-05-30,2025-05-28,Paid
INV00217,PO00238,V001,2026-01-16,177646.92,2026-02-15,2026-02-10,Paid
INV00218,PO00239,V011,2025-01-18,16078.7,2025-03-04,2025-03-03,Paid
INV00219,PO00240,V024,2026-03-25,27120.52,2026-04-09,2026-04-04,Paid
INV00220,PO00241,V016,2026-04-10,87438.91,2026-04-25,2026-04-23,Paid
INV00221,PO00242,V004,2026-04-25,39362.88,2026-06-24,2026-07-12,Paid
INV00222,PO00243,V002,2026-06-21,41748.63,2026-08-20,,Pending
INV00223,PO00244,V002,2026-05-19,107599.86,2026-07-18,2026-07-15,Paid
INV00224,PO00245,V004,2026-05-27,176053.59,2026-07-26,,Overdue
INV00225,PO00246,V003,2025-12-07,36485.36,2025-12-22,2025-12-18,Paid
INV00226,PO00247,V009,2026-07-21,73600.74,2026-08-05,,Pending
INV00227,PO00248,V017,2025-11-04,67578.18,2025-12-19,2025-12-15,Paid
INV00228,PO00249,V004,2025-05-05,156991.59,2025-07-04,2025-06-30,Paid
INV00229,PO00250,V018,2025-08-19,58385.25,2025-10-18,2025-10-13,Paid
INV00230,PO00251,V014,2025-12-25,120125.53,2026-01-24,,Overdue
INV00231,PO00252,V024,2025-04-10,40872.15,2025-04-25,2025-04-22,Paid
INV00232,PO00254,V003,2025-04-19,36786.5,2025-05-04,2025-04-30,Paid
INV00233,PO00255,V004,2026-01-22,41061.96,2026-03-23,2026-04-03,Paid
INV00234,PO00257,V014,2026-01-01,163190.08,2026-01-31,2026-01-27,Paid
INV00235,PO00260,V022,2026-05-24,53247.74,2026-07-23,2026-07-23,Paid
INV00236,PO00261,V018,2026-01-27,29017.92,2026-03-28,2026-03-29,Paid
INV00237,PO00262,V008,2026-03-29,136108.02,2026-04-13,2026-04-11,Paid
INV00238,PO00264,V023,2025-10-06,2619.37,2025-12-05,2025-12-04,Paid
INV00239,PO00265,V025,2025-12-01,98255.92,2026-01-15,2026-01-16,Paid
INV00240,PO00266,V006,2025-06-03,105028.56,2025-07-03,2025-07-14,Paid
INV00241,PO00267,V005,2025-02-19,20369.4,2025-03-21,,Overdue
INV00242,PO00268,V013,2026-03-18,49042.41,2026-04-17,2026-05-02,Paid
INV00243,PO00269,V010,2025-12-16,197852.34,2026-01-15,2026-01-10,Paid
INV00244,PO00270,V003,2025-03-03,11093.63,2025-03-18,2025-03-20,Paid
INV00245,PO00271,V002,2025-04-13,36789.12,2025-06-12,,Overdue
INV00246,PO00272,V016,2026-04-06,37920.75,2026-04-21,2026-05-18,Paid
INV00247,PO00274,V022,2026-05-22,99157.86,2026-07-21,,Overdue
INV00248,PO00275,V008,2026-02-15,23150.28,2026-03-02,2026-03-28,Paid
INV00249,PO00276,V010,2025-08-24,47032.47,2025-09-23,,Overdue
INV00250,PO00277,V010,2025-12-21,3212.22,2026-01-20,2026-02-18,Paid
INV00251,PO00278,V014,2025-07-15,16017.6,2025-08-14,2025-08-09,Paid
INV00252,PO00279,V008,2026-06-05,128284.44,2026-06-20,2026-06-22,Paid
INV00253,PO00281,V014,2025-01-27,115812.0,2025-02-26,2025-02-23,Paid
INV00254,PO00282,V011,2026-03-27,66199.4,2026-05-11,2026-05-08,Paid
INV00255,PO00283,V014,2025-11-10,14955.57,2025-12-10,,Overdue
INV00256,PO00284,V006,2026-04-30,160200.8,2026-05-30,2026-05-30,Paid
INV00257,PO00285,V003,2026-03-30,41637.36,2026-04-14,2026-04-16,Paid
INV00258,PO00286,V019,2026-02-21,22484.28,2026-03-23,2026-03-23,Paid
INV00259,PO00287,V010,2026-01-02,23978.78,2026-02-01,2026-01-31,Paid
INV00260,PO00288,V003,2026-06-08,32623.64,2026-06-23,,Overdue
INV00261,PO00289,V007,2026-01-12,75489.44,2026-01-27,,Overdue
INV00262,PO00290,V021,2025-06-09,11728.75,2025-06-24,2025-06-26,Paid
INV00263,PO00291,V007,2025-06-30,42171.56,2025-07-15,2025-07-11,Paid
INV00264,PO00292,V021,2025-03-30,47201.7,2025-04-14,2025-04-12,Paid
INV00265,PO00293,V016,2026-05-03,122293.07,2026-05-18,2026-05-13,Paid
INV00266,PO00295,V005,2026-04-10,10441.86,2026-05-10,2026-05-29,Paid
INV00267,PO00296,V010,2025-10-21,22005.76,2025-11-20,2025-11-22,Paid
INV00268,PO00297,V003,2025-12-03,62578.06,2025-12-18,2025-12-15,Paid
INV00269,PO00298,V012,2025-10-23,15453.68,2025-12-07,2025-12-03,Paid
INV00270,PO00300,V024,2025-02-25,102944.17,2025-03-12,,Overdue
INV00271,PO00301,V021,2025-07-23,56172.22,2025-08-07,2025-08-09,Paid
INV00272,PO00302,V005,2025-03-19,22127.6,2025-04-18,2025-04-19,Paid
INV00273,PO00303,V011,2025-04-01,92552.33,2025-05-16,,Overdue
INV00274,PO00304,V008,2026-04-12,67309.97,2026-04-27,2026-04-26,Paid
INV00275,PO00305,V006,2026-01-18,85582.95,2026-02-17,2026-02-19,Paid
INV00276,PO00306,V014,2025-12-25,106764.22,2026-01-24,2026-02-17,Paid
INV00277,PO00307,V021,2025-12-16,7291.08,2025-12-31,2025-12-27,Paid
INV00278,PO00308,V022,2026-02-04,24705.0,2026-04-05,2026-04-07,Paid
INV00279,PO00309,V022,2025-06-12,15177.08,2025-08-11,2025-08-12,Paid
INV00280,PO00310,V005,2026-01-09,83076.84,2026-02-08,2026-02-07,Paid
INV00281,PO00311,V022,2026-02-11,23262.44,2026-04-12,2026-04-08,Paid
INV00282,PO00313,V005,2026-07-13,16746.0,2026-08-12,,Pending
INV00283,PO00314,V017,2026-01-24,3041.22,2026-03-10,,Overdue
INV00284,PO00315,V007,2025-12-24,200370.8,2026-01-08,2026-01-03,Paid
INV00285,PO00316,V008,2025-06-07,6858.6,2025-06-22,2025-06-19,Paid
INV00286,PO00317,V004,2026-06-19,137822.85,2026-08-18,,Pending
INV00287,PO00318,V017,2025-02-13,64648.5,2025-03-30,2025-03-28,Paid
INV00288,PO00319,V020,2025-05-20,69421.4,2025-07-19,2025-07-15,Paid
INV00289,PO00320,V006,2025-07-07,94580.86,2025-08-06,2025-08-05,Paid
INV00290,PO00321,V012,2025-09-02,77726.96,2025-10-17,2025-10-20,Paid
INV00291,PO00322,V024,2026-04-09,37033.84,2026-04-24,2026-04-20,Paid
INV00292,PO00323,V016,2025-08-06,70869.6,2025-08-21,2025-09-11,Paid
INV00293,PO00324,V015,2026-05-02,71178.32,2026-06-16,2026-06-18,Paid
INV00294,PO00326,V007,2025-05-27,73851.25,2025-06-11,2025-06-12,Paid
INV00295,PO00328,V017,2025-05-19,12726.0,2025-07-03,2025-07-05,Paid
INV00296,PO00329,V009,2026-04-18,149282.38,2026-05-03,2026-05-02,Paid
INV00297,PO00330,V014,2025-04-08,233492.61,2025-05-08,2025-05-07,Paid
INV00298,PO00331,V015,2026-01-08,27739.27,2026-02-22,2026-02-23,Paid
INV00299,PO00332,V013,2026-06-02,29319.16,2026-07-02,2026-07-29,Paid
INV00300,PO00333,V012,2025-09-04,3731.22,2025-10-19,2025-11-08,Paid
INV00301,PO00334,V023,2025-12-13,46891.7,2026-02-11,2026-02-08,Paid
INV00302,PO00335,V010,2026-05-16,158760.58,2026-06-15,2026-06-13,Paid
INV00303,PO00336,V023,2026-05-03,78925.86,2026-07-02,2026-07-04,Paid
INV00304,PO00338,V024,2026-07-02,21616.01,2026-07-17,2026-08-06,Paid
INV00305,PO00339,V008,2025-11-09,4534.56,2025-11-24,2025-11-26,Paid
INV00306,PO00340,V021,2026-04-20,3613.42,2026-05-05,2026-05-08,Paid
INV00307,PO00341,V020,2026-07-09,4487.34,2026-09-07,,Pending
INV00308,PO00342,V008,2025-05-31,38329.06,2025-06-15,2025-06-12,Paid
INV00309,PO00343,V012,2025-09-11,72132.39,2025-10-26,2025-10-24,Paid
INV00310,PO00344,V022,2025-04-12,138673.08,2025-06-11,2025-07-09,Paid
INV00311,PO00345,V017,2026-07-28,110497.2,2026-09-11,,Pending
INV00312,PO00346,V018,2025-01-22,98691.26,2025-03-23,,Overdue
INV00313,PO00347,V021,2026-02-10,32434.08,2026-02-25,2026-02-25,Paid
INV00314,PO00348,V012,2025-03-18,28874.93,2025-05-02,2025-05-03,Paid
INV00315,PO00349,V021,2025-04-18,128560.0,2025-05-03,2025-05-03,Paid
INV00316,PO00350,V011,2025-06-06,5733.18,2025-07-21,2025-07-17,Paid
INV00317,PO00351,V021,2025-07-10,178488.7,2025-07-25,2025-07-24,Paid
INV00318,PO00352,V023,2026-05-16,44423.79,2026-07-15,2026-07-10,Paid
INV00319,PO00353,V003,2026-05-04,4240.97,2026-05-19,2026-05-16,Paid
INV00320,PO00354,V007,2025-02-28,81066.1,2025-03-15,2025-03-16,Paid
INV00321,PO00355,V013,2026-07-13,40834.04,2026-08-12,,Pending
INV00322,PO00356,V021,2025-07-26,32398.56,2025-08-10,2025-08-13,Paid
INV00323,PO00357,V002,2025-12-22,14994.72,2026-02-20,2026-02-23,Paid
INV00324,PO00358,V014,2026-02-20,97739.95,2026-03-22,2026-03-31,Paid
INV00325,PO00359,V011,2025-07-27,93375.58,2025-09-10,2025-10-08,Paid
INV00326,PO00360,V017,2025-10-12,34959.6,2025-11-26,2025-11-24,Paid
INV00327,PO00361,V003,2026-03-27,162030.71,2026-04-11,2026-04-26,Paid
INV00328,PO00362,V018,2025-11-07,15840.37,2026-01-06,2026-01-01,Paid
INV00329,PO00363,V022,2025-11-18,41346.41,2026-01-17,2026-01-19,Paid
INV00330,PO00364,V014,2025-07-07,98025.71,2025-08-06,2025-08-07,Paid
